service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ES:Euskotren:Service:1470:,1,1,1,1,1,0,0,20240715,20240802
ES:Euskotren:Service:1712:,1,0,0,1,0,0,0,20240805,20240815
ES:Euskotren:Service:1741:,0,0,1,1,0,1,1,20240720,20240803
ES:Euskotren:Service:2105:,1,0,0,1,0,1,1,20240720,20240815
ES:Euskotren:Service:2167:,0,0,1,0,0,0,0,20240724,20240724
ES:Euskotren:Service:2168:,0,0,0,1,0,0,0,20240725,20240725
ES:Euskotren:Service:2173:,1,1,1,1,0,0,0,20240715,20240822
ES:Euskotren:Service:2175:,0,1,1,0,1,0,0,20240719,20240823
ES:Euskotren:Service:2177:,0,0,0,0,0,1,0,20240803,20240824
ES:Euskotren:Service:2183:,0,0,1,1,0,0,0,20240731,20240815
ES:Euskotren:Service:2184:,0,0,0,0,0,0,1,20240804,20240818
ES:Euskotren:Service:2200:,1,1,1,1,1,0,0,20240715,20240802
ES:Euskotren:Service:2213:,0,0,0,0,0,1,0,20240720,20240720
ES:Euskotren:Service:2214:,0,0,0,0,0,0,1,20240721,20240721
ES:Euskotren:Service:2217:,0,0,1,0,0,0,0,20240724,20240724
ES:Euskotren:Service:2218:,0,0,0,1,0,0,0,20240725,20240725
ES:Euskotren:Service:2219:,0,0,0,0,0,1,0,20240727,20240727
ES:Euskotren:Service:2220:,0,0,0,0,0,0,1,20240728,20240728
ES:Euskotren:Service:49:,1,1,1,1,1,1,0,20240715,20240824
ES:Euskotren:Service:50:,1,0,1,1,0,0,1,20240721,20240818
