fare_id,route_id,origin_id,destination_id,contains_id
ES:Euskotren:Fare:1005:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:1023:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:10857:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:10917:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:10940:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:11060:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:11168:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:11213:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:11382:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:11565:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:1158:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:11718:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:1194:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:1212:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:1221:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:1240:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:1270:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:1279:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:1387:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:1405:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:1459:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:1540:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:1558:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:1586:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:17422:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:17442:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:17482:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:17518:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:17585:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:17666:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:1766:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:17684:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:1820:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:8:,
