service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2024-07-162024-07-31001651,1,1,1,1,1,1,1,20240716,20240731                                                                                                                                                                                                                                                                                                    
2024-08-012024-09-10001651,1,1,1,1,1,1,1,20240801,20240910                                                                                                                                                                                                                                                                                                    
2024-09-112024-12-07001651,1,1,1,1,1,1,1,20240911,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-07-31001653,1,1,1,1,1,1,1,20240716,20240731                                                                                                                                                                                                                                                                                                    
2024-08-012024-08-01001653,1,1,1,1,1,1,1,20240801,20240801                                                                                                                                                                                                                                                                                                    
2024-08-022024-08-05001653,1,1,1,1,1,1,1,20240802,20240805                                                                                                                                                                                                                                                                                                    
2024-08-062024-08-06001653,1,1,1,1,1,1,1,20240806,20240806                                                                                                                                                                                                                                                                                                    
2024-08-072024-08-07001653,1,1,1,1,1,1,1,20240807,20240807                                                                                                                                                                                                                                                                                                    
2024-08-082024-08-08001653,1,1,1,1,1,1,1,20240808,20240808                                                                                                                                                                                                                                                                                                    
2024-08-092024-08-12001653,1,1,1,1,1,1,1,20240809,20240812                                                                                                                                                                                                                                                                                                    
2024-08-132024-08-13001653,1,1,1,1,1,1,1,20240813,20240813                                                                                                                                                                                                                                                                                                    
2024-08-142024-08-14001653,1,1,1,1,1,1,1,20240814,20240814                                                                                                                                                                                                                                                                                                    
2024-08-152024-08-15001653,1,1,1,1,1,1,1,20240815,20240815                                                                                                                                                                                                                                                                                                    
2024-08-162024-08-19001653,1,1,1,1,1,1,1,20240816,20240819                                                                                                                                                                                                                                                                                                    
2024-08-202024-08-20001653,1,1,1,1,1,1,1,20240820,20240820                                                                                                                                                                                                                                                                                                    
2024-08-212024-08-21001653,1,1,1,1,1,1,1,20240821,20240821                                                                                                                                                                                                                                                                                                    
2024-08-222024-08-22001653,1,1,1,1,1,1,1,20240822,20240822                                                                                                                                                                                                                                                                                                    
2024-08-232024-08-26001653,1,1,1,1,1,1,1,20240823,20240826                                                                                                                                                                                                                                                                                                    
2024-08-272024-08-27001653,1,1,1,1,1,1,1,20240827,20240827                                                                                                                                                                                                                                                                                                    
2024-08-282024-08-28001653,1,1,1,1,1,1,1,20240828,20240828                                                                                                                                                                                                                                                                                                    
2024-08-292024-08-29001653,1,1,1,1,1,1,1,20240829,20240829                                                                                                                                                                                                                                                                                                    
2024-08-302024-09-02001653,1,1,1,1,1,1,1,20240830,20240902                                                                                                                                                                                                                                                                                                    
2024-09-032024-09-03001653,1,1,1,1,1,1,1,20240903,20240903                                                                                                                                                                                                                                                                                                    
2024-09-042024-09-04001653,1,1,1,1,1,1,1,20240904,20240904                                                                                                                                                                                                                                                                                                    
2024-09-052024-09-05001653,1,1,1,1,1,1,1,20240905,20240905                                                                                                                                                                                                                                                                                                    
2024-09-062024-09-09001653,1,1,1,1,1,1,1,20240906,20240909                                                                                                                                                                                                                                                                                                    
2024-09-102024-09-10001653,1,1,1,1,1,1,1,20240910,20240910                                                                                                                                                                                                                                                                                                    
2024-09-112024-12-07001653,1,1,1,1,1,1,1,20240911,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001901,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001902,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001903,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001904,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001931,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001932,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001941,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15001942,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-14001971,1,1,1,1,1,1,1,20240716,20240814                                                                                                                                                                                                                                                                                                    
2024-08-162024-09-15001971,1,1,1,1,1,1,1,20240816,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-14001972,1,1,1,1,1,1,1,20240716,20240814                                                                                                                                                                                                                                                                                                    
2024-08-162024-09-15001972,1,1,1,1,1,1,1,20240816,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-14001991,1,1,1,1,1,1,1,20240716,20240814                                                                                                                                                                                                                                                                                                    
2024-08-152024-08-15001991,1,1,1,1,1,1,1,20240815,20240815                                                                                                                                                                                                                                                                                                    
2024-08-162024-09-15001991,1,1,1,1,1,1,1,20240816,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-14001992,1,1,1,1,1,1,1,20240716,20240814                                                                                                                                                                                                                                                                                                    
2024-08-152024-08-15001992,1,1,1,1,1,1,1,20240815,20240815                                                                                                                                                                                                                                                                                                    
2024-08-162024-09-15001992,1,1,1,1,1,1,1,20240816,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-07-21002571,1,1,1,1,1,1,1,20240716,20240721                                                                                                                                                                                                                                                                                                    
