service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1049L,1,0,0,0,0,0,0,20240708,20240708                                                                                                                 
1050M,0,1,0,0,0,0,0,20240709,20240709                                                                                                                 
1051X,0,0,1,0,0,0,0,20240710,20240710                                                                                                                 
1052J,0,0,0,1,0,0,0,20240711,20240711                                                                                                                 
1053V,0,0,0,0,1,0,0,20240712,20240712                                                                                                                 
1054S,0,0,0,0,0,1,0,20240713,20240713                                                                                                                 
1055D,0,0,0,0,0,0,1,20240714,20240714                                                                                                                 
1056L,1,0,0,0,0,0,0,20240715,20240715                                                                                                                 
1057M,0,1,0,0,0,0,0,20240716,20240716                                                                                                                 
1058X,0,0,1,0,0,0,0,20240717,20240717                                                                                                                 
1059J,0,0,0,1,0,0,0,20240718,20240718                                                                                                                 
1060V,0,0,0,0,1,0,0,20240719,20240719                                                                                                                 
1061S,0,0,0,0,0,1,0,20240720,20240720                                                                                                                 
1062D,0,0,0,0,0,0,1,20240721,20240721                                                                                                                 
1063L,1,0,0,0,0,0,0,20240722,20240722                                                                                                                 
1064M,0,1,0,0,0,0,0,20240723,20240723                                                                                                                 
1065X,0,0,1,0,0,0,0,20240724,20240724                                                                                                                 
1066J,0,0,0,1,0,0,0,20240725,20240725                                                                                                                 
1067V,0,0,0,0,1,0,0,20240726,20240726                                                                                                                 
1068S,0,0,0,0,0,1,0,20240727,20240727                                                                                                                 
1069D,0,0,0,0,0,0,1,20240728,20240728                                                                                                                 
1070L,1,0,0,0,0,0,0,20240729,20240729                                                                                                                 
1071M,0,1,0,0,0,0,0,20240730,20240730                                                                                                                 
1072X,0,0,1,0,0,0,0,20240731,20240731                                                                                                                 
1073J,0,0,0,1,0,0,0,20240801,20240801                                                                                                                 
1074V,0,0,0,0,1,0,0,20240802,20240802                                                                                                                 
1075S,0,0,0,0,0,1,0,20240803,20240803                                                                                                                 
1076D,0,0,0,0,0,0,1,20240804,20240804                                                                                                                 
1077L,1,0,0,0,0,0,0,20240805,20240805                                                                                                                 
1078M,0,1,0,0,0,0,0,20240806,20240806                                                                                                                 
1079X,0,0,1,0,0,0,0,20240807,20240807                                                                                                                 
2049L,1,0,0,0,0,0,0,20240708,20240708                                                                                                                 
2050M,0,1,0,0,0,0,0,20240709,20240709                                                                                                                 
2051X,0,0,1,0,0,0,0,20240710,20240710                                                                                                                 
2052J,0,0,0,1,0,0,0,20240711,20240711                                                                                                                 
2053V,0,0,0,0,1,0,0,20240712,20240712                                                                                                                 
2054S,0,0,0,0,0,1,0,20240713,20240713                                                                                                                 
2055D,0,0,0,0,0,0,1,20240714,20240714                                                                                                                 
2056L,1,0,0,0,0,0,0,20240715,20240715                                                                                                                 
2057M,0,1,0,0,0,0,0,20240716,20240716                                                                                                                 
2058X,0,0,1,0,0,0,0,20240717,20240717                                                                                                                 
2059J,0,0,0,1,0,0,0,20240718,20240718                                                                                                                 
2060V,0,0,0,0,1,0,0,20240719,20240719                                                                                                                 
2061S,0,0,0,0,0,1,0,20240720,20240720                                                                                                                 
2062D,0,0,0,0,0,0,1,20240721,20240721                                                                                                                 
2063L,1,0,0,0,0,0,0,20240722,20240722                                                                                                                 
2064M,0,1,0,0,0,0,0,20240723,20240723                                                                                                                 
2065X,0,0,1,0,0,0,0,20240724,20240724                                                                                                                 
2066J,0,0,0,1,0,0,0,20240725,20240725                                                                                                                 
2067V,0,0,0,0,1,0,0,20240726,20240726                                                                                                                 
2068S,0,0,0,0,0,1,0,20240727,20240727                                                                                                                 
2069D,0,0,0,0,0,0,1,20240728,20240728                                                                                                                 
