trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1_0101_1_48900,13:35:00,13:35:05,4644,1,Kiroldegia,0,0,0
1_0101_1_48900,13:36:18,13:36:23,4645,2,Musakola 1,0,0,0
1_0101_1_48900,13:37:59,13:38:04,4646,3,Ospitalea 1,0,0,0
1_0101_1_48900,13:41:01,13:41:06,4647,4,Elma 1,0,0,0
1_0101_1_48900,13:42:02,13:42:07,4648,5,Legarre,0,0,0
1_0101_1_48900,13:42:36,13:42:41,4649,6,Maala,0,0,0
1_0101_1_48900,13:43:12,13:43:17,4650,7,Garibai 1,0,0,0
1_0101_1_48900,13:45:10,13:45:15,4651,8,Etxaluze,0,0,0
1_0101_1_48900,13:46:22,13:46:27,4652,9,San Josepe,0,0,0
1_0101_1_48900,13:47:51,13:47:56,3061,10,San Andrés,0,0,0
1_0101_1_48900,13:50:07,13:50:12,4653,11,Arimazubi 1,0,0,0
1_0101_1_48900,13:53:31,13:53:36,4654,12,Uribarri 1,0,0,0
1_0101_1_48900,13:54:51,13:54:56,4655,13,Garaia 1,0,0,0
1_0101_1_48900,13:55:45,13:55:50,4656,14,Itxaropena,0,0,0
1_0101_1_48900,13:56:42,13:56:47,4657,15,Erguingain A,0,0,0
1_0101_1_48900,13:57:35,13:57:40,4658,16,Gorostitza,0,0,0
1_0101_1_48900,13:58:08,13:58:13,4659,17,Maitena,0,0,0
1_0101_1_48900,13:58:28,13:58:33,4976,18,Erguingain B,0,0,0
1_0101_1_48900,13:59:14,13:59:19,4660,19,Erguin 1,0,0,0
1_0101_1_48900,13:59:33,13:59:38,4661,20,Zarugalde 1,0,0,0
1_0101_1_48900,14:00:39,14:00:44,4662,21,Muzibar 1,0,0,0
1_0101_1_48900,14:01:17,14:01:22,4663,22,San Frantzisko 1,0,0,0
1_0101_1_48900,14:02:26,14:02:31,4664,23,J.l. Iñarra 1,0,0,0
1_0101_1_48900,14:04:07,14:04:12,4665,24,Altamira,0,0,0
1_0101_1_48900,14:05:25,14:05:30,3063,25,Makatzenagoiena,0,0,0
1_0101_1_48900,14:07:07,14:07:12,2095,26,Makatzenabarrena,0,0,0
1_0101_1_48900,14:08:27,14:08:32,4666,27,Obenerreka 1,0,0,0
1_0101_1_48900,14:09:32,14:09:37,4667,28,Santa Marina,0,0,0
1_0101_1_48900,14:10:20,14:10:25,4668,29,Galizia,0,0,0
1_0101_1_48900,14:11:02,14:11:07,4669,30,Joan Bengoa 1,0,0,0
1_0101_1_48900,14:11:40,14:11:45,4670,31,Eroski,0,0,0
1_0101_1_48900,14:13:43,14:13:48,4644,32,,0,0,0
1_0151_1_31500,08:45:00,08:45:05,4659,1,Maitena,0,0,0
1_0151_1_31500,08:45:20,08:45:25,4976,2,Erguingain B,0,0,0
1_0151_1_31500,08:46:06,08:46:11,4660,3,Udalpe,0,0,0
1_0151_1_31500,08:46:31,08:46:36,4680,4,Garaia 2,0,0,0
1_0151_1_31500,08:47:36,08:47:41,4681,5,Uribarri 2,0,0,0
1_0151_1_31500,08:48:42,08:48:47,4682,6,Arimazubi 2,0,0,0
1_0151_1_31500,08:49:58,08:50:03,4683,7,San Andrés,0,0,0
1_0151_1_31500,08:52:54,08:52:59,4653,8,Etxaluze,0,0,0
1_0151_1_31500,08:53:38,08:53:43,4652,9,San Josepe,0,0,0
1_0151_1_31500,08:55:07,08:55:12,3061,10,Garibai 2,0,0,0
1_0151_1_31500,08:57:30,08:57:35,4684,11,Maala,0,0,0
1_0151_1_31500,08:59:50,08:59:55,4650,12,Legarre,0,0,0
1_0151_1_31500,09:00:26,09:00:31,4649,13,Elma 2,0,0,0
1_0151_1_31500,09:00:51,09:00:56,4685,14,Ospitalea 2,0,0,0
1_0151_1_31500,09:02:08,09:02:13,4686,15,Musakola 2,0,0,0
1_0151_1_31500,09:04:25,09:04:30,4687,16,San Isidro,0,0,0
1_0151_1_31500,09:05:19,09:05:24,4688,17,Eroski,0,0,0
1_0151_1_31500,09:06:48,09:06:53,4644,18,Kiroldegia,0,0,0
1_0151_1_31500,09:08:06,09:08:11,4645,19,Joan Bengoa 2,0,0,0
1_0151_1_31500,09:08:45,09:08:50,4671,20,Santa Teresa 19,0,0,0
1_0151_1_31500,09:12:15,09:12:20,2100,21,Santa Teresa,0,0,0
1_0151_1_31500,09:13:34,09:13:39,4672,22,Agarre,0,0,0
1_0151_1_31500,09:14:32,09:14:37,4673,23,Obenerreka 2,0,0,0
1_0151_1_31500,09:15:32,09:15:37,4674,24,Hondarribia,0,0,0
