trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
59_5902_1_26400,07:20:00,07:20:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_26400,07:26:23,07:26:28,1408,2,Otaola,0,0,0
59_5902_1_26400,07:27:58,07:28:03,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_26400,07:29:10,07:29:15,1410,4,Ipurua,0,0,0
59_5902_1_26400,07:30:04,07:30:09,1411,5,Sostoatarren,0,0,0
59_5902_1_26400,07:30:27,07:30:32,1412,6,Ubitxa,0,0,0
59_5902_1_26400,07:31:02,07:31:07,1416,7,San Kristobal,0,0,0
59_5902_1_26400,07:32:16,07:32:21,6018,8,Ubitxa 2,0,0,0
59_5902_1_26400,07:33:46,07:33:51,6131,9,Untzaga,0,0,0
59_5902_1_26400,07:34:40,07:34:45,850,10,Bidebarrie,0,0,0
59_5902_1_26400,07:36:21,07:36:26,1739,11,Urtzaile,0,0,0
59_5902_1_26400,07:37:04,07:37:09,6019,12,Agiñazpi,0,0,0
59_5902_1_26400,07:38:03,07:38:08,1419,13,Barrena,0,0,0
59_5902_1_26400,07:39:23,07:39:28,1400,14,Azitain,0,0,0
59_5902_1_26400,07:40:14,07:40:19,1000,15,Iparraguirre,0,0,0
59_5902_1_26400,07:46:20,07:46:25,1658,16,Saratsuegi,0,0,0
59_5902_1_26400,07:47:31,07:47:36,6015,17,Debegesa,0,0,0
59_5902_1_26400,07:51:30,07:51:35,1714,18,Tekniker,0,0,0
59_5902_1_26400,07:53:03,07:53:08,2667,19,,0,0,0
59_5902_1_61200,17:00:00,17:00:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_61200,17:06:23,17:06:28,1408,2,Otaola,0,0,0
59_5902_1_61200,17:07:58,17:08:03,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_61200,17:09:10,17:09:15,1410,4,Ipurua,0,0,0
59_5902_1_61200,17:10:04,17:10:09,1411,5,Sostoatarren,0,0,0
59_5902_1_61200,17:10:27,17:10:32,1412,6,Ubitxa,0,0,0
59_5902_1_61200,17:11:02,17:11:07,1416,7,San Kristobal,0,0,0
59_5902_1_61200,17:12:16,17:12:21,6018,8,Ubitxa 2,0,0,0
59_5902_1_61200,17:13:46,17:13:51,6131,9,Untzaga,0,0,0
59_5902_1_61200,17:14:40,17:14:45,850,10,Bidebarrie,0,0,0
59_5902_1_61200,17:16:21,17:16:26,1739,11,Urtzaile,0,0,0
59_5902_1_61200,17:17:04,17:17:09,6019,12,Agiñazpi,0,0,0
59_5902_1_61200,17:18:03,17:18:08,1419,13,Barrena,0,0,0
59_5902_1_61200,17:19:23,17:19:28,1400,14,Azitain,0,0,0
59_5902_1_61200,17:20:14,17:20:19,1000,15,Iparraguirre,0,0,0
59_5902_1_61200,17:26:20,17:26:25,1658,16,Saratsuegi,0,0,0
59_5902_1_61200,17:27:31,17:27:36,6015,17,Debegesa,0,0,0
59_5902_1_61200,17:31:30,17:31:35,1714,18,Tekniker,0,0,0
59_5902_1_61200,17:33:03,17:33:08,2667,19,,0,0,0
60_6001_3_36000,10:00:00,10:00:05,851,1,Errebal,0,0,0
60_6001_3_36000,10:01:47,10:01:52,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_36000,10:03:18,10:03:23,1124,3,Izua,0,0,0
60_6001_3_36000,10:13:18,10:13:23,6016,4,Usartza,0,0,0
60_6001_3_36000,10:14:15,10:14:20,6020,5,Altzaga,0,0,0
60_6001_3_36000,10:15:33,10:15:38,4740,6,Krabelin,0,0,0
60_6001_3_36000,10:16:43,10:16:48,1423,7,Arrate,0,0,0
60_6001_3_36000,10:17:53,10:17:58,1422,8,,0,0,0
60_6002_3_66600,18:30:00,18:30:05,1422,1,"Krabelin, 2",0,0,0
60_6002_3_66600,18:31:27,18:31:32,6132,2,Altzaga,0,0,0
60_6002_3_66600,18:32:43,18:32:48,4740,3,Usartza 2,0,0,0
60_6002_3_66600,18:33:52,18:33:57,6133,4,Izua 2,0,0,0
60_6002_3_66600,18:34:51,18:34:56,6134,5,Untzaga,0,0,0
60_6002_3_66600,18:46:15,18:46:20,850,6,,0,0,0
60_6001_3_64800,18:00:00,18:00:05,851,1,Errebal,0,0,0
60_6001_3_64800,18:01:47,18:01:52,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_64800,18:03:18,18:03:23,1124,3,Izua,0,0,0
60_6001_3_64800,18:13:18,18:13:23,6016,4,Usartza,0,0,0
60_6001_3_64800,18:14:15,18:14:20,6020,5,Altzaga,0,0,0
60_6001_3_64800,18:15:33,18:15:38,4740,6,Krabelin,0,0,0
60_6001_3_64800,18:16:43,18:16:48,1423,7,Arrate,0,0,0
60_6001_3_64800,18:17:53,18:17:58,1422,8,,0,0,0
59_5901_1_49800,13:50:00,13:50:05,2667,1,Debegesa,0,0,0
59_5901_1_49800,13:51:36,13:51:41,1714,2,Saratsuegi,0,0,0
59_5901_1_49800,13:55:35,13:55:40,6015,3,Iparraguirre,0,0,0
59_5901_1_49800,14:01:37,14:01:42,1658,4,Azitain,0,0,0
59_5901_1_49800,14:03:13,14:03:18,993,5,Barrena,0,0,0
59_5901_1_49800,14:03:51,14:03:56,1421,6,Urkizu,0,0,0
59_5901_1_49800,14:05:16,14:05:21,851,7,Errebal,0,0,0
59_5901_1_49800,14:07:03,14:07:08,4441,8,Correos-julian Etxebarria,0,0,0
59_5901_1_49800,14:07:53,14:07:58,1401,9,"San Juan Kalea, 07",0,0,0
59_5901_1_49800,14:08:40,14:08:45,1124,10,Torrekua,0,0,0
59_5901_1_49800,14:10:27,14:10:32,6078,11,Wenceslao Orbea,0,0,0
59_5901_1_49800,14:16:34,14:16:39,6021,12,Ziriako Agirre 2,0,0,0
59_5901_1_49800,14:17:55,14:18:00,6130,13,Asola Igartza,0,0,0
59_5901_1_49800,14:18:59,14:19:04,1405,14,"Tiburcio Anitua, 21",0,0,0
59_5901_1_49800,14:19:51,14:19:56,1402,15,"Triburcio Anitua, 25",0,0,0
59_5901_1_49800,14:20:16,14:20:21,1403,16,,0,0,0
60_6002_3_48600,13:30:00,13:30:05,1422,1,"Krabelin, 2",0,0,0
60_6002_3_48600,13:31:27,13:31:32,6132,2,Altzaga,0,0,0
60_6002_3_48600,13:32:43,13:32:48,4740,3,Usartza 2,0,0,0
60_6002_3_48600,13:33:52,13:33:57,6133,4,Izua 2,0,0,0
60_6002_3_48600,13:34:51,13:34:56,6134,5,Untzaga,0,0,0
60_6002_3_48600,13:46:15,13:46:20,850,6,,0,0,0
60_6001_3_39600,11:00:00,11:00:05,851,1,Errebal,0,0,0
60_6001_3_39600,11:01:47,11:01:52,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_39600,11:03:18,11:03:23,1124,3,Izua,0,0,0
60_6001_3_39600,11:13:18,11:13:23,6016,4,Usartza,0,0,0
60_6001_3_39600,11:14:15,11:14:20,6020,5,Altzaga,0,0,0
60_6001_3_39600,11:15:33,11:15:38,4740,6,Krabelin,0,0,0
60_6001_3_39600,11:16:43,11:16:48,1423,7,Arrate,0,0,0
60_6001_3_39600,11:17:53,11:17:58,1422,8,,0,0,0
59_5904_1_68400,19:00:00,19:00:05,1403,1,Unibertsitatea,0,0,0
59_5904_1_68400,19:06:23,19:06:28,1408,2,Otaola,0,0,0
59_5904_1_68400,19:07:58,19:08:03,997,3,Polikiroldegia-eibar,0,0,0
59_5904_1_68400,19:09:10,19:09:15,1410,4,Ipurua,0,0,0
59_5904_1_68400,19:10:04,19:10:09,1411,5,Sostoatarren,0,0,0
59_5904_1_68400,19:10:27,19:10:32,1412,6,Ubitxa,0,0,0
59_5904_1_68400,19:11:02,19:11:07,1416,7,San Kristobal,0,0,0
59_5904_1_68400,19:12:16,19:12:21,6018,8,Ubitxa 2,0,0,0
59_5904_1_68400,19:13:46,19:13:51,6131,9,Untzaga,0,0,0
59_5904_1_68400,19:14:40,19:14:45,850,10,Bidebarrie,0,0,0
59_5904_1_68400,19:16:21,19:16:26,1739,11,Urtzaile,0,0,0
59_5904_1_68400,19:17:04,19:17:09,6019,12,Agiñazpi,0,0,0
59_5904_1_68400,19:18:03,19:18:08,1419,13,Barrena,0,0,0
59_5904_1_68400,19:19:23,19:19:28,1400,14,Azitain,0,0,0
59_5904_1_68400,19:20:14,19:20:19,1000,15,Iparraguirre,0,0,0
59_5904_1_68400,19:26:20,19:26:25,1658,16,Saratsuegi,0,0,0
59_5904_1_68400,19:27:31,19:27:36,6015,17,,0,0,0
60_6001_3_32400,09:00:00,09:00:05,851,1,Errebal,0,0,0
60_6001_3_32400,09:01:47,09:01:52,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_32400,09:03:18,09:03:23,1124,3,Izua,0,0,0
60_6001_3_32400,09:13:18,09:13:23,6016,4,Usartza,0,0,0
60_6001_3_32400,09:14:15,09:14:20,6020,5,Altzaga,0,0,0
60_6001_3_32400,09:15:33,09:15:38,4740,6,Krabelin,0,0,0
60_6001_3_32400,09:16:43,09:16:48,1423,7,Arrate,0,0,0
60_6001_3_32400,09:17:53,09:17:58,1422,8,,0,0,0
59_5902_1_28200,07:50:00,07:50:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_28200,07:56:23,07:56:28,1408,2,Otaola,0,0,0
59_5902_1_28200,07:57:58,07:58:03,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_28200,07:59:10,07:59:15,1410,4,Ipurua,0,0,0
59_5902_1_28200,08:00:04,08:00:09,1411,5,Sostoatarren,0,0,0
59_5902_1_28200,08:00:27,08:00:32,1412,6,Ubitxa,0,0,0
59_5902_1_28200,08:01:02,08:01:07,1416,7,San Kristobal,0,0,0
59_5902_1_28200,08:02:16,08:02:21,6018,8,Ubitxa 2,0,0,0
59_5902_1_28200,08:03:46,08:03:51,6131,9,Untzaga,0,0,0
59_5902_1_28200,08:04:40,08:04:45,850,10,Bidebarrie,0,0,0
59_5902_1_28200,08:06:21,08:06:26,1739,11,Urtzaile,0,0,0
59_5902_1_28200,08:07:04,08:07:09,6019,12,Agiñazpi,0,0,0
59_5902_1_28200,08:08:03,08:08:08,1419,13,Barrena,0,0,0
59_5902_1_28200,08:09:23,08:09:28,1400,14,Azitain,0,0,0
59_5902_1_28200,08:10:14,08:10:19,1000,15,Iparraguirre,0,0,0
59_5902_1_28200,08:16:20,08:16:25,1658,16,Saratsuegi,0,0,0
59_5902_1_28200,08:17:31,08:17:36,6015,17,Debegesa,0,0,0
59_5902_1_28200,08:21:30,08:21:35,1714,18,Tekniker,0,0,0
59_5902_1_28200,08:23:03,08:23:08,2667,19,,0,0,0
60_6002_3_41400,11:30:00,11:30:05,1422,1,"Krabelin, 2",0,0,0
60_6002_3_41400,11:31:27,11:31:32,6132,2,Altzaga,0,0,0
60_6002_3_41400,11:32:43,11:32:48,4740,3,Usartza 2,0,0,0
60_6002_3_41400,11:33:52,11:33:57,6133,4,Izua 2,0,0,0
60_6002_3_41400,11:34:51,11:34:56,6134,5,Untzaga,0,0,0
60_6002_3_41400,11:46:15,11:46:20,850,6,,0,0,0
59_5902_1_34200,09:30:00,09:30:05,1403,1,Unibertsitatea,0,0,0
59_5902_1_34200,09:36:23,09:36:28,1408,2,Otaola,0,0,0
59_5902_1_34200,09:37:58,09:38:03,997,3,Polikiroldegia-eibar,0,0,0
59_5902_1_34200,09:39:10,09:39:15,1410,4,Ipurua,0,0,0
59_5902_1_34200,09:40:04,09:40:09,1411,5,Sostoatarren,0,0,0
59_5902_1_34200,09:40:27,09:40:32,1412,6,Ubitxa,0,0,0
59_5902_1_34200,09:41:02,09:41:07,1416,7,San Kristobal,0,0,0
59_5902_1_34200,09:42:16,09:42:21,6018,8,Ubitxa 2,0,0,0
59_5902_1_34200,09:43:46,09:43:51,6131,9,Untzaga,0,0,0
59_5902_1_34200,09:44:40,09:44:45,850,10,Bidebarrie,0,0,0
59_5902_1_34200,09:46:21,09:46:26,1739,11,Urtzaile,0,0,0
59_5902_1_34200,09:47:04,09:47:09,6019,12,Agiñazpi,0,0,0
59_5902_1_34200,09:48:03,09:48:08,1419,13,Barrena,0,0,0
59_5902_1_34200,09:49:23,09:49:28,1400,14,Azitain,0,0,0
59_5902_1_34200,09:50:14,09:50:19,1000,15,Iparraguirre,0,0,0
59_5902_1_34200,09:56:20,09:56:25,1658,16,Saratsuegi,0,0,0
59_5902_1_34200,09:57:31,09:57:36,6015,17,Debegesa,0,0,0
59_5902_1_34200,10:01:30,10:01:35,1714,18,Tekniker,0,0,0
59_5902_1_34200,10:03:03,10:03:08,2667,19,,0,0,0
59_5901_1_45900,12:45:00,12:45:05,2667,1,Debegesa,0,0,0
59_5901_1_45900,12:46:36,12:46:41,1714,2,Saratsuegi,0,0,0
59_5901_1_45900,12:50:35,12:50:40,6015,3,Iparraguirre,0,0,0
59_5901_1_45900,12:56:37,12:56:42,1658,4,Azitain,0,0,0
59_5901_1_45900,12:58:13,12:58:18,993,5,Barrena,0,0,0
59_5901_1_45900,12:58:51,12:58:56,1421,6,Urkizu,0,0,0
59_5901_1_45900,13:00:16,13:00:21,851,7,Errebal,0,0,0
59_5901_1_45900,13:02:03,13:02:08,4441,8,Correos-julian Etxebarria,0,0,0
59_5901_1_45900,13:02:53,13:02:58,1401,9,"San Juan Kalea, 07",0,0,0
59_5901_1_45900,13:03:40,13:03:45,1124,10,Torrekua,0,0,0
59_5901_1_45900,13:05:27,13:05:32,6078,11,Wenceslao Orbea,0,0,0
59_5901_1_45900,13:11:34,13:11:39,6021,12,Ziriako Agirre 2,0,0,0
59_5901_1_45900,13:12:55,13:13:00,6130,13,Asola Igartza,0,0,0
59_5901_1_45900,13:13:59,13:14:04,1405,14,"Tiburcio Anitua, 21",0,0,0
59_5901_1_45900,13:14:51,13:14:56,1402,15,"Triburcio Anitua, 25",0,0,0
59_5901_1_45900,13:15:16,13:15:21,1403,16,,0,0,0
60_6001_3_46800,13:00:00,13:00:05,851,1,Errebal,0,0,0
60_6001_3_46800,13:01:47,13:01:52,4441,2,"San Juan Kalea, 07",0,0,0
60_6001_3_46800,13:03:18,13:03:23,1124,3,Izua,0,0,0
60_6001_3_46800,13:13:18,13:13:23,6016,4,Usartza,0,0,0
60_6001_3_46800,13:14:15,13:14:20,6020,5,Altzaga,0,0,0
60_6001_3_46800,13:15:33,13:15:38,4740,6,Krabelin,0,0,0
60_6001_3_46800,13:16:43,13:16:48,1423,7,Arrate,0,0,0
60_6001_3_46800,13:17:53,13:17:58,1422,8,,0,0,0
59_5901_1_42000,11:40:00,11:40:05,2667,1,Debegesa,0,0,0
59_5901_1_42000,11:41:36,11:41:41,1714,2,Saratsuegi,0,0,0
59_5901_1_42000,11:45:35,11:45:40,6015,3,Iparraguirre,0,0,0
59_5901_1_42000,11:51:37,11:51:42,1658,4,Azitain,0,0,0
59_5901_1_42000,11:53:13,11:53:18,993,5,Barrena,0,0,0
59_5901_1_42000,11:53:51,11:53:56,1421,6,Urkizu,0,0,0
59_5901_1_42000,11:55:16,11:55:21,851,7,Errebal,0,0,0
59_5901_1_42000,11:57:03,11:57:08,4441,8,Correos-julian Etxebarria,0,0,0
59_5901_1_42000,11:57:53,11:57:58,1401,9,"San Juan Kalea, 07",0,0,0
59_5901_1_42000,11:58:40,11:58:45,1124,10,Torrekua,0,0,0
59_5901_1_42000,12:00:27,12:00:32,6078,11,Wenceslao Orbea,0,0,0
59_5901_1_42000,12:06:34,12:06:39,6021,12,Ziriako Agirre 2,0,0,0
59_5901_1_42000,12:07:55,12:08:00,6130,13,Asola Igartza,0,0,0
