route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,10,13_302_10_43500,,Azkoitia,1,,shp_13_302,0,0
14,22,14_406_22_52800,,Beizama,1,,shp_14_406,0,0
16,21,16_605_21_56700,,Azkoitia,0,,shp_16_605,0,0
46,21,46_4605_21_2700,,Azkoitia,0,,shp_46_4605,0,0
16,26,16_605_26_81900,,Azkoitia,0,,shp_16_605,0,0
16,2,16_601_2_74700,,Zumarraga,0,,shp_16_601,0,0
11,40,11_102_40_50700,,Azkoitia,1,,shp_11_102,0,0
15,39,15_501_39_63900,,Ermua,0,,shp_15_501,0,0
15,30,15_502_30_45600,,Azpeitia,1,,shp_15_502,0,0
12,22,12_201_22_51000,,Tolosa,0,,shp_12_201,0,0
11,40,11_101_40_35100,,Donostia,0,,shp_11_101,0,0
15,22,15_506_22_42300,,Azpeitia,1,,shp_15_506,0,0
46,2,46_4605_2_2700,,Azkoitia,0,,shp_46_4605,0,0
15,26,15_503_26_25800,,Ermua,0,,shp_15_503,0,0
16,2,16_605_2_78300,,Azkoitia,0,,shp_16_605,0,0
11,30,11_101_30_38700,,Donostia,0,,shp_11_101,0,0
13,26,13_301_26_25500,,Zarautz,0,,shp_13_301,0,0
12,39,12_205_39_57600,,Errezil,0,,shp_12_205,0,0
14,26,14_406_26_29100,,Beizama,1,,shp_14_406,0,0
15,38,15_502_38_27600,,Azpeitia,1,,shp_15_502,0,0
46,3,46_4602_3_21600,,Zumaia,1,,shp_46_4602,0,0
15,11,15_501_11_35100,,Ermua,0,,shp_15_501,0,0
13,38,13_302_38_29100,,Azkoitia,1,,shp_13_302,0,0
13,11,13_302_11_36300,,Azkoitia,1,,shp_13_302,0,0
12,1,12_201_1_61500,,Tolosa,0,,shp_12_201,0,0
13,2,13_301_2_65100,,Zarautz,0,,shp_13_301,0,0
14,29,14_406_29_52800,,Beizama,1,,shp_14_406,0,0
13,3,13_301_3_47100,,Zarautz,0,,shp_13_301,0,0
15,3,15_504_3_31200,,Azpeitia,1,,shp_15_504,0,0
12,1,12_203_1_65700,,Errezil,0,,shp_12_203,0,0
13,2,13_301_2_54300,,Zarautz,0,,shp_13_301,0,0
12,29,12_205_29_42600,,Errezil,0,,shp_12_205,0,0
12,29,12_201_29_51000,,Tolosa,0,,shp_12_201,0,0
11,26,11_101_26_69300,,Donostia,0,,shp_11_101,0,0
13,1,13_301_1_72300,,Zarautz,0,,shp_13_301,0,0
11,21,11_102_21_59700,,Azkoitia,1,,shp_11_102,0,0
