trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2_202_2_4500,01:15:00,01:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_4500,01:17:09,01:17:14,5547,2,,0,0,0
2_201_2_73800,20:30:00,20:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_73800,20:31:21,20:31:26,1381,2,,0,0,0
2_202_1_4500,01:15:00,01:15:05,1381,1,Zinkoenea,0,0,0
2_202_1_4500,01:17:09,01:17:14,5547,2,,0,0,0
2_201_1_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_48600,13:31:21,13:31:26,1381,2,,0,0,0
2_201_2_48600,13:30:00,13:30:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_48600,13:31:21,13:31:26,1381,2,,0,0,0
2_202_2_84600,23:30:00,23:30:05,1381,1,Zinkoenea,0,0,0
2_202_2_84600,23:32:09,23:32:14,5547,2,,0,0,0
2_202_2_62100,17:15:00,17:15:05,1381,1,Zinkoenea,0,0,0
2_202_2_62100,17:17:09,17:17:14,5547,2,,0,0,0
2_201_2_75600,21:00:00,21:00:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_75600,21:01:21,21:01:26,1381,2,,0,0,0
2_202_1_64800,18:00:00,18:00:05,1381,1,Zinkoenea,0,0,0
2_202_1_64800,18:02:09,18:02:14,5547,2,,0,0,0
2_201_2_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_2_51300,14:16:21,14:16:26,1381,2,,0,0,0
2_202_2_64800,18:00:00,18:00:05,1381,1,Zinkoenea,0,0,0
2_202_2_64800,18:02:09,18:02:14,5547,2,,0,0,0
2_201_1_51300,14:15:00,14:15:05,5562,1,Sidrerias Hernani,0,0,0
2_201_1_51300,14:16:21,14:16:26,1381,2,,0,0,0
1_102_1_29100,08:05:00,08:05:05,5563,1,Zikuñaga Auzoa,0,0,0
1_102_1_29100,08:06:13,08:06:18,5564,2,Karabel Biribilgunea,0,0,0
1_102_1_29100,08:08:00,08:08:05,1734,3,Zinkoenea,0,0,0
