trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1_2_2_31200,08:40:00,08:40:05,19,1,Talaia,0,0,0
1_2_2_31200,08:42:10,08:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_2_31200,08:42:40,08:42:45,115,3,Aristegi,0,0,0
1_2_2_31200,08:43:24,08:43:29,4106,4,Ugaldetxo,0,0,0
1_2_2_31200,08:44:34,08:44:39,116,5,Ibarre,0,0,0
1_2_2_31200,08:45:24,08:45:29,4986,6,Iturriotz,0,0,0
1_2_2_31200,08:46:24,08:46:29,4987,7,Altzibar Bat,0,0,0
1_2_2_31200,08:47:09,08:47:14,4988,8,Altzibar Bi,0,0,0
1_2_2_31200,08:47:49,08:47:54,4989,9,Elorrondo 1,0,0,0
1_2_2_31200,08:48:46,08:48:51,4985,10,Elorrondo 2,0,0,0
1_2_2_31200,08:50:10,08:50:15,4990,11,Anbulategia,0,0,0
1_2_2_31200,08:51:36,08:51:41,4991,12,Yon Oñatibia,0,0,0
1_2_2_31200,08:51:48,08:51:53,4992,13,Mendin,0,0,0
1_2_2_31200,08:54:37,08:54:42,4993,14,,0,0,0
1_2_3_42000,11:40:00,11:40:05,19,1,Talaia,0,0,0
1_2_3_42000,11:42:10,11:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_3_42000,11:42:40,11:42:45,115,3,Aristegi,0,0,0
1_2_3_42000,11:43:24,11:43:29,4106,4,Ugaldetxo,0,0,0
1_2_3_42000,11:44:34,11:44:39,116,5,Ibarre,0,0,0
1_2_3_42000,11:45:24,11:45:29,4986,6,Iturriotz,0,0,0
1_2_3_42000,11:46:24,11:46:29,4987,7,Altzibar Bat,0,0,0
1_2_3_42000,11:47:09,11:47:14,4988,8,Altzibar Bi,0,0,0
1_2_3_42000,11:47:49,11:47:54,4989,9,Elorrondo 1,0,0,0
1_2_3_42000,11:48:46,11:48:51,4985,10,Elorrondo 2,0,0,0
1_2_3_42000,11:50:10,11:50:15,4990,11,Anbulategia,0,0,0
1_2_3_42000,11:51:36,11:51:41,4991,12,Yon Oñatibia,0,0,0
1_2_3_42000,11:51:48,11:51:53,4992,13,Mendin,0,0,0
1_2_3_42000,11:54:37,11:54:42,4993,14,,0,0,0
1_2_2_42000,11:40:00,11:40:05,19,1,Talaia,0,0,0
1_2_2_42000,11:42:10,11:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_2_42000,11:42:40,11:42:45,115,3,Aristegi,0,0,0
1_2_2_42000,11:43:24,11:43:29,4106,4,Ugaldetxo,0,0,0
1_2_2_42000,11:44:34,11:44:39,116,5,Ibarre,0,0,0
1_2_2_42000,11:45:24,11:45:29,4986,6,Iturriotz,0,0,0
1_2_2_42000,11:46:24,11:46:29,4987,7,Altzibar Bat,0,0,0
1_2_2_42000,11:47:09,11:47:14,4988,8,Altzibar Bi,0,0,0
1_2_2_42000,11:47:49,11:47:54,4989,9,Elorrondo 1,0,0,0
1_2_2_42000,11:48:46,11:48:51,4985,10,Elorrondo 2,0,0,0
1_2_2_42000,11:50:10,11:50:15,4990,11,Anbulategia,0,0,0
1_2_2_42000,11:51:36,11:51:41,4991,12,Yon Oñatibia,0,0,0
1_2_2_42000,11:51:48,11:51:53,4992,13,Mendin,0,0,0
1_2_2_42000,11:54:37,11:54:42,4993,14,,0,0,0
2_1_5_7200,02:00:00,02:00:05,126,1,Gurutze,0,0,0
2_1_5_7200,02:03:12,02:03:17,4831,2,Ergoien,0,0,0
2_1_5_7200,02:09:02,02:09:07,4832,3,Altzibar,0,0,0
2_1_5_7200,02:11:59,02:12:04,4833,4,Karrika,0,0,0
2_1_5_7200,02:15:01,02:15:06,4834,5,Iturriotz,0,0,0
2_1_5_7200,02:18:09,02:18:14,133,6,Ibarre,0,0,0
2_1_5_7200,02:18:57,02:19:02,134,7,Rotonda Karaez Kalea 20,0,0,0
2_1_5_7200,02:20:46,02:20:51,4108,8,Ugaldetxo,0,0,0
2_1_5_7200,02:22:16,02:22:21,135,9,Arco Topo,0,0,0
2_1_5_7200,02:25:47,02:25:52,19,10,Caserio Mendin,0,0,0
2_1_5_7200,02:28:17,02:28:22,4300,11,Iparralde Etorbidea-eliza,0,0,0
2_1_5_7200,02:30:12,02:30:17,126,12,,0,0,0
1_2_1_31200,08:40:00,08:40:05,19,1,Talaia,0,0,0
1_2_1_31200,08:42:10,08:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_1_31200,08:42:40,08:42:45,115,3,Aristegi,0,0,0
1_2_1_31200,08:43:24,08:43:29,4106,4,Ugaldetxo,0,0,0
1_2_1_31200,08:44:34,08:44:39,116,5,Ibarre,0,0,0
1_2_1_31200,08:45:24,08:45:29,4986,6,Iturriotz,0,0,0
1_2_1_31200,08:46:24,08:46:29,4987,7,Altzibar Bat,0,0,0
1_2_1_31200,08:47:09,08:47:14,4988,8,Altzibar Bi,0,0,0
1_2_1_31200,08:47:49,08:47:54,4989,9,Elorrondo 1,0,0,0
1_2_1_31200,08:48:46,08:48:51,4985,10,Elorrondo 2,0,0,0
1_2_1_31200,08:50:10,08:50:15,4990,11,Anbulategia,0,0,0
1_2_1_31200,08:51:36,08:51:41,4991,12,Yon Oñatibia,0,0,0
1_2_1_31200,08:51:48,08:51:53,4992,13,Mendin,0,0,0
1_2_1_31200,08:54:37,08:54:42,4993,14,,0,0,0
1_2_4_60000,16:40:00,16:40:05,19,1,Talaia,0,0,0
1_2_4_60000,16:42:10,16:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_4_60000,16:42:40,16:42:45,115,3,Aristegi,0,0,0
1_2_4_60000,16:43:24,16:43:29,4106,4,Ugaldetxo,0,0,0
1_2_4_60000,16:44:34,16:44:39,116,5,Ibarre,0,0,0
1_2_4_60000,16:45:24,16:45:29,4986,6,Iturriotz,0,0,0
1_2_4_60000,16:46:24,16:46:29,4987,7,Altzibar Bat,0,0,0
1_2_4_60000,16:47:09,16:47:14,4988,8,Altzibar Bi,0,0,0
1_2_4_60000,16:47:49,16:47:54,4989,9,Elorrondo 1,0,0,0
1_2_4_60000,16:48:46,16:48:51,4985,10,Elorrondo 2,0,0,0
1_2_4_60000,16:50:10,16:50:15,4990,11,Anbulategia,0,0,0
1_2_4_60000,16:51:36,16:51:41,4991,12,Yon Oñatibia,0,0,0
1_2_4_60000,16:51:48,16:51:53,4992,13,Mendin,0,0,0
1_2_4_60000,16:54:37,16:54:42,4993,14,,0,0,0
1_2_4_27600,07:40:00,07:40:05,19,1,Talaia,0,0,0
1_2_4_27600,07:42:10,07:42:15,114,2,Mamut Merk.gunea,0,0,0
1_2_4_27600,07:42:40,07:42:45,115,3,Aristegi,0,0,0
1_2_4_27600,07:43:24,07:43:29,4106,4,Ugaldetxo,0,0,0
1_2_4_27600,07:44:34,07:44:39,116,5,Ibarre,0,0,0
1_2_4_27600,07:45:24,07:45:29,4986,6,Iturriotz,0,0,0
