route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,762024,2_251_762024_45000,,Bergara,1,,shp_2_251,0,0
30,6062024,30_3052_6062024_36000,,Bergara,1,,shp_30_3052,0,0
10,582024,10_1054_582024_47700,,Eskoriatza,1,,shp_10_1054,0,0
7,2572024,7_704_2572024_66900,,Donostia,0,,shp_7_704,0,0
28,10462024,28_2801_10462024_60000,,Eibar,0,,shp_28_2801,0,0
31,582024,31_3102_582024_76800,,Zum-ospita,1,,shp_31_3102,0,0
14,6772024,14_1401_6772024_45000,,Aer.bilbao,0,,shp_14_1401,0,0
10,2572024,10_1005_2572024_53700,,Bergara,0,,shp_10_1005,0,0
27,6062024,27_2701_6062024_37800,,Eibar,0,,shp_27_2701,0,0
5,782024,5_509_782024_22500,,Eibar,0,,shp_5_509,0,0
30,562024,30_3052_562024_37800,,Bergara,1,,shp_30_3052,0,0
31,10462024,31_3153_10462024_21300,,Arrasate,0,,shp_31_3153,0,0
26,572024,26_2601_572024_33300,,Eibar,0,,shp_26_2601,0,0
6,10482024,6_652_10482024_73500,,Arrasate,1,,shp_6_652,0,0
30,3172024,30_3052_3172024_61200,,Bergara,1,,shp_30_3052,0,0
14,7172024,14_1451_7172024_56700,,Donostia,1,,shp_14_1451,0,0
10,572024,10_1004_572024_30600,,Bergara,0,,shp_10_1004,0,0
5,6772024,5_577_6772024_63000,,Vi-gasteiz,1,,shp_5_577,0,0
7,562024,7_751_562024_79200,,Eskoriatza,1,,shp_7_751,0,0
5,562024,5_508_562024_77400,,Eibar,0,,shp_5_508,0,0
29,782024,29_2901_782024_28800,,Aer.bilbao,0,,shp_29_2901,0,0
31,10462024,31_3103_10462024_40800,,Zumarraga,1,,shp_31_3103,0,0
30,562024,30_3002_562024_75000,,Zumarraga,0,,shp_30_3002,0,0
7,6062024,7_753_6062024_61200,,Arrasate,1,,shp_7_753,0,0
10,3172024,10_1055_3172024_56700,,Eskoriatza,1,,shp_10_1055,0,0
30,6772024,30_3052_6772024_82800,,Bergara,1,,shp_30_3052,0,0
5,1582024,5_574_1582024_37800,,Vi-gasteiz,1,,shp_5_574,0,0
14,3172024,14_1451_3172024_38700,,Donostia,1,,shp_14_1451,0,0
12,7172024,12_1251_7172024_71100,,Donostia,1,,shp_12_1251,0,0
7,582024,7_701_582024_76500,,Donostia,0,,shp_7_701,0,0
21,10482024,21_2105_10482024_43800,,Eskoriatza,0,,shp_21_2105,0,0
7,562024,7_703_562024_74400,,Donostia,0,,shp_7_703,0,0
30,582024,30_3052_582024_75600,,Bergara,1,,shp_30_3052,0,0
27,582024,27_2701_582024_59400,,Eibar,0,,shp_27_2701,0,0
2,10472024,2_252_10472024_53100,,Oñati,1,,shp_2_252,0,0
40,762024,40_4001_762024_10800,,Eibar,0,,shp_40_4001,0,0
21,7172024,21_2105_7172024_79800,,Eskoriatza,0,,shp_21_2105,0,0
10,1582024,10_1005_1582024_78900,,Bergara,0,,shp_10_1005,0,0
20,782024,20_2051_782024_52200,,Elgeta,1,,shp_20_2051,0,0
10,1582024,10_1055_1582024_42300,,Eskoriatza,1,,shp_10_1055,0,0
12,762024,12_1201_762024_65700,,Gasteiz,0,,shp_12_1201,0,0
12,582024,12_1251_582024_60300,,Donostia,1,,shp_12_1251,0,0
11,10462024,11_1101_10462024_32400,,Bilbao,0,,shp_11_1101,0,0
7,3172024,7_751_3172024_28800,,Eskoriatza,1,,shp_7_751,0,0
21,682024,21_2151_682024_49500,,Leintz,1,,shp_21_2151,0,0
26,572024,26_2651_572024_30600,,Vi-gasteiz,1,,shp_26_2651,0,0
14,572024,14_1451_572024_53100,,Donostia,1,,shp_14_1451,0,0
14,7172024,14_1401_7172024_43200,,Aer.bilbao,0,,shp_14_1401,0,0
31,1582024,31_3153_1582024_44700,,Arrasate,0,,shp_31_3153,0,0
7,572024,7_753_572024_62100,,Arrasate,1,,shp_7_753,0,0
30,572024,30_3002_572024_30000,,Zumarraga,0,,shp_30_3002,0,0
30,10482024,30_3052_10482024_46800,,Bergara,1,,shp_30_3052,0,0
11,762024,11_1151_762024_36000,,Donostia,1,,shp_11_1151,0,0
26,3172024,26_2602_3172024_26100,,Ermua,0,,shp_26_2602,0,0
14,6772024,14_1451_6772024_58500,,Donostia,1,,shp_14_1451,0,0
10,2572024,10_1055_2572024_38700,,Eskoriatza,1,,shp_10_1055,0,0
6,6772024,6_602_6772024_55800,,Deba,0,,shp_6_602,0,0
10,3172024,10_1005_3172024_71700,,Bergara,0,,shp_10_1005,0,0
10,6062024,10_1005_6062024_46500,,Bergara,0,,shp_10_1005,0,0
11,10482024,11_1101_10482024_70200,,Bilbao,0,,shp_11_1101,0,0
14,10482024,14_1401_10482024_41400,,Aer.bilbao,0,,shp_14_1401,0,0
11,2572024,11_1101_2572024_72000,,Bilbao,0,,shp_11_1101,0,0
14,10462024,14_1451_10462024_76500,,Donostia,1,,shp_14_1451,0,0
30,562024,30_3002_562024_31800,,Zumarraga,0,,shp_30_3002,0,0
6,1582024,6_652_1582024_41100,,Arrasate,1,,shp_6_652,0,0
30,2572024,30_3052_2572024_43200,,Bergara,1,,shp_30_3052,0,0
31,10482024,31_3101_10482024_57000,,Zumarraga,1,,shp_31_3101,0,0
11,7172024,11_1101_7172024_45000,,Bilbao,0,,shp_11_1101,0,0
28,10462024,28_2851_10462024_42300,,Arrasate,1,,shp_28_2851,0,0
30,10472024,30_3052_10472024_70200,,Bergara,1,,shp_30_3052,0,0
31,682024,31_3103_682024_80400,,Zumarraga,1,,shp_31_3103,0,0
10,582024,10_1055_582024_60300,,Eskoriatza,1,,shp_10_1055,0,0
6,7172024,6_652_7172024_73500,,Arrasate,1,,shp_6_652,0,0
30,562024,30_3052_562024_36000,,Bergara,1,,shp_30_3052,0,0
21,782024,21_2156_782024_74400,,Leintz,1,,shp_21_2156,0,0
29,782024,29_2951_782024_69300,,Arrasate,1,,shp_29_2951,0,0
7,762024,7_753_762024_64800,,Arrasate,1,,shp_7_753,0,0
12,572024,12_1201_572024_44100,,Gasteiz,0,,shp_12_1201,0,0
13,6062024,13_1351_6062024_61200,,Donostia,1,,shp_13_1351,0,0
14,6772024,14_1401_6772024_46800,,Aer.bilbao,0,,shp_14_1401,0,0
14,782024,14_1401_782024_32400,,Aer.bilbao,0,,shp_14_1401,0,0
5,2572024,5_585_2572024_80400,,Vi-gasteiz,1,,shp_5_585,0,0
5,2572024,5_509_2572024_80100,,Eibar,0,,shp_5_509,0,0
12,6772024,12_1201_6772024_80100,,Gasteiz,0,,shp_12_1201,0,0
20,7172024,20_2001_7172024_50400,,Elgeta,0,,shp_20_2001,0,0
5,10462024,5_561_10462024_62100,,Vi-gasteiz,1,,shp_5_561,0,0
20,562024,20_2001_562024_41400,,Elgeta,0,,shp_20_2001,0,0
7,582024,7_753_582024_81000,,Arrasate,1,,shp_7_753,0,0
14,562024,14_1401_562024_57600,,Aer.bilbao,0,,shp_14_1401,0,0
12,782024,12_1251_782024_81900,,Donostia,1,,shp_12_1251,0,0
11,1582024,11_1151_1582024_46800,,Donostia,1,,shp_11_1151,0,0
14,2572024,14_1401_2572024_70200,,Aer.bilbao,0,,shp_14_1401,0,0
11,3172024,11_1101_3172024_66600,,Bilbao,0,,shp_11_1101,0,0
9,7172024,9_901_7172024_27300,,Zum<>leg,0,,shp_9_901,0,0
21,582024,21_2155_582024_31500,,Leintz,1,,shp_21_2155,0,0
7,562024,7_754_562024_58500,,Arrasate,1,,shp_7_754,0,0
12,762024,12_1251_762024_42300,,Donostia,1,,shp_12_1251,0,0
21,572024,21_2105_572024_43800,,Eskoriatza,0,,shp_21_2105,0,0
14,3172024,14_1401_3172024_64800,,Aer.bilbao,0,,shp_14_1401,0,0
7,762024,7_703_762024_59700,,Donostia,0,,shp_7_703,0,0
5,10482024,5_509_10482024_80100,,Eibar,0,,shp_5_509,0,0
21,582024,21_2101_582024_69000,,Eskoriatza,0,,shp_21_2101,0,0
9,10462024,9_901_10462024_30900,,Zum<>leg,0,,shp_9_901,0,0
2,572024,2_253_572024_73800,,Bergara,1,,shp_2_253,0,0
31,10472024,31_3101_10472024_58800,,Zumarraga,1,,shp_31_3101,0,0
6,582024,6_602_582024_48600,,Deba,0,,shp_6_602,0,0
10,10472024,10_1054_10472024_33300,,Eskoriatza,1,,shp_10_1054,0,0
9,762024,9_901_762024_70500,,Zum<>leg,0,,shp_9_901,0,0
10,682024,10_1005_682024_82500,,Bergara,0,,shp_10_1005,0,0
12,572024,12_1251_572024_60300,,Donostia,1,,shp_12_1251,0,0
14,762024,14_1451_762024_36900,,Donostia,1,,shp_14_1451,0,0
21,10472024,21_2105_10472024_43800,,Eskoriatza,0,,shp_21_2105,0,0
9,782024,9_901_782024_45300,,Zum<>leg,0,,shp_9_901,0,0
5,762024,5_509_762024_29700,,Eibar,0,,shp_5_509,0,0
11,2572024,11_1101_2572024_73800,,Bilbao,0,,shp_11_1101,0,0
14,1582024,14_1401_1582024_50400,,Aer.bilbao,0,,shp_14_1401,0,0
1,3172024,1_151_3172024_72900,,Arrasate,1,,shp_1_151,0,0
27,572024,27_2701_572024_59400,,Eibar,0,,shp_27_2701,0,0
