service_id,date,exception_type
22,20240715,2
22,20240716,2
21,20240717,2
21,20240718,2
21,20240719,2
22,20240722,2
22,20240723,2
21,20240724,2
10,20240725,1
18,20240725,2
21,20240725,2
21,20240726,2
22,20240729,2
22,20240730,2
11,20240731,1
18,20240731,2
21,20240731,2
21,20240801,2
21,20240802,2
22,20240805,2
22,20240806,2
21,20240807,2
21,20240808,2
21,20240809,2
22,20240812,2
22,20240813,2
21,20240814,2
12,20240815,1
18,20240815,2
21,20240815,2
21,20240816,2
22,20240819,2
22,20240820,2
21,20240821,2
21,20240822,2
21,20240823,2
22,20240826,2
22,20240827,2
21,20240828,2
21,20240829,2
21,20240830,2
