service_id,date,exception_type
3,20240717,2
2,20240720,2
3,20240724,2
2,20240727,2
3,20240731,2
2,20240803,2
3,20240807,2
2,20240810,2
3,20240814,2
2,20240817,2
3,20240821,2
2,20240824,2
3,20240828,2
2,20240831,2
3,20240904,2
2,20240907,2
3,20240911,2
2,20240914,2
3,20240918,2
2,20240921,2
3,20240925,2
2,20240928,2
3,20241002,2
2,20241005,2
3,20241009,2
2,20241012,2
3,20241016,2
2,20241019,2
3,20241023,2
2,20241026,2
3,20241030,2
2,20241102,2
3,20241106,2
2,20241109,2
3,20241113,2
2,20241116,2
3,20241120,2
2,20241123,2
3,20241127,2
2,20241130,2
3,20241204,2
2,20241207,2
3,20241211,2
2,20241214,2
3,20241218,2
2,20241221,2
3,20241225,2
2,20241228,2
