service_id,date,exception_type
ES:Euskotren:Service:1470:,20240725,2
ES:Euskotren:Service:1470:,20240731,2
ES:Euskotren:Service:1712:,20240808,2
ES:Euskotren:Service:1712:,20240812,2
ES:Euskotren:Service:1741:,20240724,2
ES:Euskotren:Service:1741:,20240801,2
ES:Euskotren:Service:2105:,20240722,2
ES:Euskotren:Service:2105:,20240725,2
ES:Euskotren:Service:2105:,20240729,2
ES:Euskotren:Service:2105:,20240801,2
ES:Euskotren:Service:2105:,20240804,2
ES:Euskotren:Service:2105:,20240808,2
ES:Euskotren:Service:2105:,20240810,2
ES:Euskotren:Service:2105:,20240811,2
ES:Euskotren:Service:2105:,20240812,2
ES:Euskotren:Service:2173:,20240724,2
ES:Euskotren:Service:2173:,20240725,2
ES:Euskotren:Service:2173:,20240730,2
ES:Euskotren:Service:2173:,20240731,2
ES:Euskotren:Service:2173:,20240814,2
ES:Euskotren:Service:2173:,20240815,2
ES:Euskotren:Service:2175:,20240723,2
ES:Euskotren:Service:2175:,20240724,2
ES:Euskotren:Service:2175:,20240731,2
ES:Euskotren:Service:2175:,20240806,2
ES:Euskotren:Service:2175:,20240807,2
ES:Euskotren:Service:2175:,20240813,2
ES:Euskotren:Service:2175:,20240820,2
ES:Euskotren:Service:2175:,20240821,2
ES:Euskotren:Service:2183:,20240801,2
ES:Euskotren:Service:2183:,20240807,2
ES:Euskotren:Service:2183:,20240808,2
ES:Euskotren:Service:2183:,20240814,2
ES:Euskotren:Service:2200:,20240724,2
ES:Euskotren:Service:2200:,20240725,2
ES:Euskotren:Service:49:,20240725,2
ES:Euskotren:Service:49:,20240731,2
ES:Euskotren:Service:49:,20240805,2
ES:Euskotren:Service:49:,20240815,2
ES:Euskotren:Service:50:,20240722,2
ES:Euskotren:Service:50:,20240724,2
ES:Euskotren:Service:50:,20240729,2
ES:Euskotren:Service:50:,20240801,2
ES:Euskotren:Service:50:,20240807,2
ES:Euskotren:Service:50:,20240808,2
ES:Euskotren:Service:50:,20240812,2
ES:Euskotren:Service:50:,20240814,2
