fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
ES:Euskotren:Fare:1005:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1023:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:10857:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:10917:,5.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:10940:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11060:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11168:,5.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11213:,7.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11382:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11565:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1158:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11718:,7.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1194:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1212:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1221:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1240:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1270:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1279:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1387:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1405:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1459:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1540:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1558:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1586:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17422:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17442:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17482:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17518:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17585:,2.75,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17666:,5.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1766:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17684:,5.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1820:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1829:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1838:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1946:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1964:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1991:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:1:,1.65,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2099:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2135:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2253:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2289:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2325:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2370:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23767:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2379:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23807:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23872:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2388:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2398:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2408:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2487:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2604:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2631:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2676:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2757:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2784:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2883:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:2983:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
