stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:StopPlace:1468:,,Atxuri,,"Calle Atxuri, 5-6 / Bilbao",43.254113,-2.921513,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14680:,,Atxuri,,"Calle Atxuri, 5-6 / Bilbao",43.254113,-2.921513,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1468:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14681:,,Atxuri,,"Calle Atxuri, 5-6 / Bilbao",43.254113,-2.921513,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1468:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1469:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14690:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1469:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14691:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1469:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14692:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1469:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1470:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14700:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1470:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14701:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1470:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14702:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1470:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1471:,,Abando,,"Calle Navarra, 5 / Bilbao",43.261052,-2.926658,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14710:,,Abando,,"Calle Navarra, 5 / Bilbao",43.261052,-2.926658,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1471:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14711:,,Abando,,"Calle Navarra, 5 / Bilbao",43.261052,-2.926658,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1471:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1472:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14720:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1472:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14721:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1472:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14722:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1472:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1473:,,Ribera,,Calle de la Ribera / Bilbao,43.255795,-2.924369,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14730:,,Ribera,,Calle de la Ribera / Bilbao,43.255795,-2.924369,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1473:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14731:,,Ribera,,Calle de la Ribera / Bilbao,43.255795,-2.924369,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1473:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1474:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14740:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1474:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14741:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1474:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14742:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1474:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1475:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14750:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1475:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14751:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1475:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14752:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1475:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1476:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14760:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1476:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14761:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1476:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14762:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1476:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1477:,,La Casilla,,"C/ Autonomía, 56 / Bilbao",43.257767,-2.944349,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14770:,,La Casilla,,"C/ Autonomía, 56 / Bilbao",43.257767,-2.944349,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1477:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14772:,,La Casilla,,"C/ Autonomía, 56 / Bilbao",43.257767,-2.944349,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1477:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:1478:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:14780:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,2,ES:Euskotren:StopPlace:1478:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:14781:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:1478:,,0,ES:Euskotren:Level:1:,
