service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1833,0,0,0,0,0,0,1,20240815,20240815
1811,1,1,1,1,0,0,0,20240623,20240831
1832,0,0,0,0,1,0,0,20240816,20240816
1810,0,0,0,0,1,0,0,20240901,20241011
1831,0,0,0,0,0,0,1,20240901,20241011
1808,0,0,0,0,0,1,0,20240901,20241011
1807,1,1,1,1,0,0,0,20240901,20241011
1828,0,0,0,0,0,0,1,20240725,20240731
1827,1,1,1,1,0,0,0,20240724,20240730
1837,0,0,0,0,0,0,1,20240811,20240818
1836,0,0,0,0,0,1,0,20240817,20240817
1814,0,0,0,0,1,0,0,20240623,20240831
1835,0,0,0,0,0,1,0,20240810,20240810
1813,0,0,0,0,0,0,1,20240623,20240831
1834,0,0,0,0,1,0,0,20240816,20240816
1812,0,0,0,0,0,1,0,20240623,20240831
