service_id,date,exception_type
1813,20240714,1
1811,20240715,1
1811,20240716,1
1811,20240717,1
1811,20240718,1
1814,20240719,1
1812,20240720,1
1813,20240721,1
1811,20240722,1
1811,20240723,1
1827,20240724,1
1828,20240725,1
1814,20240726,1
1812,20240727,1
1813,20240728,1
1811,20240729,1
1827,20240730,1
1828,20240731,1
1811,20240801,1
1814,20240802,1
1812,20240803,1
1813,20240804,1
1811,20240805,1
1811,20240806,1
1811,20240807,1
1811,20240808,1
1814,20240809,1
1835,20240810,1
1837,20240811,1
1832,20240812,1
1832,20240813,1
1832,20240814,1
1833,20240815,1
1834,20240816,1
1832,20240816,1
1836,20240817,1
1837,20240818,1
1811,20240819,1
1811,20240820,1
1811,20240821,1
1811,20240822,1
1814,20240823,1
1812,20240824,1
1813,20240825,1
1811,20240826,1
1811,20240827,1
1811,20240828,1
1811,20240829,1
1814,20240830,1
1812,20240831,1
1831,20240901,1
1807,20240902,1
1807,20240903,1
1807,20240904,1
1807,20240905,1
1810,20240906,1
1808,20240907,1
1831,20240908,1
1807,20240909,1
1807,20240910,1
1807,20240911,1
1807,20240912,1
1810,20240913,1
1808,20240914,1
1831,20240915,1
1807,20240916,1
1807,20240917,1
1807,20240918,1
1807,20240919,1
1810,20240920,1
1808,20240921,1
1831,20240922,1
1807,20240923,1
1807,20240924,1
1807,20240925,1
1807,20240926,1
1810,20240927,1
1808,20240928,1
1831,20240929,1
1807,20240930,1
1807,20241001,1
1807,20241002,1
1807,20241003,1
1810,20241004,1
1808,20241005,1
1831,20241006,1
1807,20241007,1
1807,20241008,1
1807,20241009,1
1807,20241010,1
1810,20241011,1
