route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
28,1828,18280028000215297602,,,1,,287602,0,0
9,1832,18320009000109500101,,,0,,90101,0,0
16,1835,18350016000215257601,,,0,,167601,0,0
28,1835,18350028000417420101,,,0,,280101,0,0
8,1811,18110008000322000102,,,1,,80102,0,0
27,1832,18320027000217000101,,,0,,270101,0,0
13,1813,18130013000109300202,,,1,,130202,0,0
18,1828,18280018000115300101,,,0,,180101,0,0
101,1813,18130101003102005102,,,1,,1015102,0,0
17,1810,18100017000108100101,,,0,,170101,0,0
9,1814,18140009000114200101,,,0,,90101,0,0
47,1837,18370047000114400101,,,0,,470101,0,0
33,1828,18280033000216150101,,,0,,330101,0,0
13,1833,18330013000119300202,,,1,,130202,0,0
17,1810,18100017000119240102,,,1,,170102,0,0
19,1813,18130019000120550102,,,1,,190102,0,0
33,1810,18100033000409450102,,,1,,330102,0,0
14,1814,18140014000414200101,,,0,,140101,0,0
47,1831,18310047000120000102,,,1,,470102,0,0
40,1814,18140040000110000101,,,0,,400101,0,0
9,1828,18280009000109000102,,,1,,90102,0,0
33,1831,18310033000112000102,,,1,,330102,0,0
18,1814,18140018000220390102,,,1,,180102,0,0
14,1835,18350014000211200102,,,1,,140102,0,0
23,1837,18370023000115300101,,,0,,230101,0,0
23,1812,18120023000121100102,,,1,,230102,0,0
29,1832,18320029000111450101,,,0,,290101,0,0
31,1814,18140031000109400101,,,0,,310101,0,0
5,1808,18080005000418150101,,,0,,50101,0,0
16,1812,18120016000216007602,,,1,,167602,0,0
25,1833,18330025000218310102,,,1,,250102,0,0
13,1837,18370013000916540101,,,0,,130101,0,0
31,1811,18110031000109000202,,,1,,310202,0,0
13,1835,18350013000910450102,,,1,,130102,0,0
8,1828,18280008000310100102,,,1,,80102,0,0
41,1833,18330041000120050101,,,0,,410101,0,0
16,1827,18270016000111400102,,,1,,160102,0,0
45,1813,18130045000108550101,,,0,,450101,0,0
13,1827,18270013000623300301,,,0,,130301,0,0
16,1828,18280016000312457601,,,0,,167601,0,0
33,1835,18350033000111450101,,,0,,330101,0,0
26,1810,18100026000114400102,,,1,,260102,0,0
14,1811,18110014000320300102,,,1,,140102,0,0
13,1836,18360013000917480102,,,1,,130102,0,0
28,1814,18140028000522090101,,,0,,280101,0,0
32,1827,18270032000121250202,,,1,,320202,0,0
17,1807,18070017000619120102,,,1,,170102,0,0
5,1808,18080005000510070101,,,0,,50101,0,0
42,1814,18140042000109400101,,,0,,420101,0,0
25,1827,18270025000218300101,,,0,,250101,0,0
18,1810,18100018000315390102,,,1,,180102,0,0
102,1837,18370102003003155102,,,1,,1025102,0,0
45,1827,18270045000220250101,,,0,,450101,0,0
14,1835,18350014000114050102,,,1,,140102,0,0
29,1810,18100029000211150101,,,0,,290101,0,0
28,1811,18110028000216537502,,,1,,287502,0,0
13,1811,18110013001419450101,,,0,,130101,0,0
13,1827,18270013001007310202,,,1,,130202,0,0
27,1807,18070027000407180601,,,0,,270601,0,0
19,1811,18110019000322000101,,,0,,190101,0,0
31,1810,18100031000507500102,,,1,,310102,0,0
5,1813,18130005000111200101,,,0,,50101,0,0
9,1833,18330009000219120102,,,1,,90102,0,0
41,1828,18280041000115050101,,,0,,410101,0,0
19,1831,18310019000110150102,,,1,,190102,0,0
24,1814,18140024000308150101,,,0,,240101,0,0
5,1828,18280005000520070101,,,0,,50101,0,0
16,1837,18370016000323057601,,,0,,167601,0,0
106,1835,18350106003004005101,,,0,,1065101,0,0
5,1827,18270005000708090102,,,1,,50102,0,0
8,1828,18280008000318070101,,,0,,80101,0,0
45,1831,18310045000122250102,,,1,,450102,0,0
18,1832,18320018000111450101,,,0,,180101,0,0
5,1812,18120005000313530101,,,0,,50101,0,0
5,1812,18120005000511450101,,,0,,50101,0,0
13,1827,18270013001122400101,,,0,,130101,0,0
13,1827,18270013000519120102,,,1,,130102,0,0
25,1807,18070025000208300101,,,0,,250101,0,0
13,1831,18310013000414500102,,,1,,130102,0,0
9,1827,18270009000217350101,,,0,,90101,0,0
21,1832,18320021000109250101,,,0,,210101,0,0
19,1810,18100019000313150102,,,1,,190102,0,0
26,1831,18310026000315100102,,,1,,260102,0,0
13,1810,18100013000917430102,,,1,,130102,0,0
18,1812,18120018000215480102,,,1,,180102,0,0
21,1812,18120021000119407502,,,1,,217502,0,0
24,1807,18070024000219450101,,,0,,240101,0,0
28,1835,18350028000416060201,,,0,,280201,0,0
21,1808,18080021000111407502,,,1,,217502,0,0
17,1837,18370017000117000102,,,1,,170102,0,0
18,1810,18100018000117000101,,,0,,180101,0,0
41,1828,18280041000119400102,,,1,,410102,0,0
26,1833,18330026000112300102,,,1,,260102,0,0
45,1807,18070045000210250101,,,0,,450101,0,0
47,1811,18110047000110000102,,,1,,470102,0,0
9,1810,18100009000209200101,,,0,,90101,0,0
26,1812,18120026000315300101,,,0,,260101,0,0
17,1827,18270017000120300102,,,1,,170102,0,0
8,1837,18370008000115220101,,,0,,80101,0,0
26,1810,18100026000518100102,,,1,,260102,0,0
45,1811,18110045000218250101,,,0,,450101,0,0
17,1811,18110017000514500101,,,0,,170101,0,0
5,1812,18120005000419530101,,,0,,50101,0,0
13,1812,18120013000907150101,,,0,,130101,0,0
26,1807,18070026000520300102,,,1,,260102,0,0
14,1811,18110014000413400101,,,0,,140101,0,0
33,1832,18320033000308400101,,,0,,330101,0,0
