service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20110202,20241231
2,0,0,0,0,1,0,0,20110201,20241231
3,0,0,0,0,0,1,0,20110201,20241231
4,0,0,0,0,0,0,1,20110201,20241231
24,0,0,0,0,1,0,0,20240701,20240731
25,0,0,0,0,0,1,0,20240701,20240731
26,0,0,0,0,0,0,1,20240701,20240731
28,0,0,0,0,1,0,0,20240801,20240831
29,0,0,0,0,0,1,0,20240801,20240831
30,0,0,0,0,0,0,1,20240801,20240831
35,0,0,0,0,1,0,0,20240901,20240930
36,0,0,0,0,0,1,0,20240901,20240930
37,0,0,0,0,0,0,1,20240901,20240930
54,1,1,1,1,1,1,1,20240814,20240815
