service_id,date,exception_type
2,20240712,2
3,20240713,2
4,20240714,2
2,20240719,2
3,20240720,2
4,20240721,2
48,20240724,1
1,20240724,2
14,20240725,1
1,20240725,2
2,20240726,2
3,20240727,2
4,20240728,2
49,20240730,1
1,20240730,2
15,20240731,1
1,20240731,2
2,20240802,2
3,20240803,2
4,20240804,2
2,20240809,2
3,20240810,2
4,20240811,2
1,20240814,2
33,20240815,1
54,20240815,2
1,20240815,2
2,20240816,2
3,20240817,2
4,20240818,2
2,20240823,2
3,20240824,2
4,20240825,2
2,20240830,2
3,20240831,2
4,20240901,2
2,20240906,2
3,20240907,2
4,20240908,2
2,20240913,2
3,20240914,2
4,20240915,2
2,20240920,2
3,20240921,2
4,20240922,2
2,20240927,2
3,20240928,2
4,20240929,2
