route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
20,24,20_2002_24_55500,,Hondarribi,1,,shp_20_2002,0,0
25,4,25_2502_4_29100,,Hondarribi,0,,shp_25_2502,0,0
27,36,27_2704_36_77100,,Hondarribi,1,,shp_27_2704,0,0
27,36,27_2702_36_67500,,Hondarribi,1,,shp_27_2702,0,0
2,3,2_201_3_34500,,Donostia,0,,shp_2_201,0,0
2,54,2_201_54_59700,,Donostia,0,,shp_2_201,0,0
5,29,5_511_29_66000,,Donostia,0,,shp_5_511,0,0
8,35,8_801_35_68400,,Donostia,0,,shp_8_801,0,0
27,25,27_2701_25_41100,,Donostia,0,,shp_27_2701,0,0
9,33,9_901_33_45600,,Donostia,0,,shp_9_901,0,0
27,2,27_2703_2_68100,,Donostia,0,,shp_27_2703,0,0
25,35,25_2503_35_43500,,Irun,0,,shp_25_2503,0,0
3,36,3_301_36_47100,,Ospitaleak,0,,shp_3_301,0,0
9,30,9_902_30_76800,,P.sn Pedro,1,,shp_9_902,0,0
3,4,3_302_4_41700,,P.donibane,1,,shp_3_302,0,0
25,54,25_2504_54_67800,,Hondarribi,1,,shp_25_2504,0,0
27,48,27_2701_48_33900,,Donostia,0,,shp_27_2701,0,0
9,48,9_901_48_46500,,Donostia,0,,shp_9_901,0,0
5,35,5_511_35_79200,,Donostia,0,,shp_5_511,0,0
21,2,21_2101_2_52800,,Donostia,0,,shp_21_2101,0,0
20,48,20_2001_48_38400,,Donostia,0,,shp_20_2001,0,0
25,26,25_2503_26_39900,,Irun,0,,shp_25_2503,0,0
9,35,9_901_35_30300,,Donostia,0,,shp_9_901,0,0
5,25,5_512_25_62100,,Err-beraun,1,,shp_5_512,0,0
25,24,25_2504_24_76800,,Hondarribi,1,,shp_25_2504,0,0
25,48,25_2503_48_39000,,Irun,0,,shp_25_2503,0,0
1,28,1 _102_28_34200,,P.donibane,1,,shp_1 _102,0,0
21,33,21_2101_33_47100,,Donostia,0,,shp_21_2101,0,0
25,28,25_2503_28_24600,,Irun,0,,shp_25_2503,0,0
2,37,2_202_37_50400,,Oiartzun,1,,shp_2_202,0,0
5,2,5_511_2_68400,,Donostia,0,,shp_5_511,0,0
1,4,1 _102_4_40200,,P.donibane,1,,shp_1 _102,0,0
9,14,9_901_14_72300,,Donostia,0,,shp_9_901,0,0
9,36,9_901_36_65400,,Donostia,0,,shp_9_901,0,0
30,29,30_3004_29_57000,,Aireportua,1,,shp_30_3004,0,0
8,26,8_804_26_33900,,P.sn Pedro,1,,shp_8_804,0,0
25,1,25_2502_1_72300,,Hondarribi,0,,shp_25_2502,0,0
25,3,25_2503_3_72300,,Irun,0,,shp_25_2503,0,0
5,24,5_512_24_39120,,Err-beraun,1,,shp_5_512,0,0
25,33,25_2503_33_58800,,Irun,0,,shp_25_2503,0,0
3,24,3_302_24_45300,,P.donibane,1,,shp_3_302,0,0
9,1,9_902_1_54000,,P.sn Pedro,1,,shp_9_902,0,0
9,35,9_902_35_45000,,P.sn Pedro,1,,shp_9_902,0,0
1,30,1 _101_30_69300,,Donostia,0,,shp_1 _101,0,0
27,33,27_2703_33_42600,,Donostia,0,,shp_27_2703,0,0
25,49,25_2502_49_50700,,Hondarribi,0,,shp_25_2502,0,0
25,25,25_2512_25_27300,,Hondarribi,1,,shp_25_2512,0,0
26,1,26_2602_1_56700,,Irun,1,,shp_26_2602,0,0
25,49,25_2504_49_33600,,Hondarribi,1,,shp_25_2504,0,0
9,37,9_901_37_28800,,Donostia,0,,shp_9_901,0,0
5,1,5_512_1_58020,,Err-beraun,1,,shp_5_512,0,0
9,28,9_902_28_26100,,P.sn Pedro,1,,shp_9_902,0,0
2,48,2_201_48_46500,,Donostia,0,,shp_2_201,0,0
2,30,2_202_30_76800,,Oiartzun,1,,shp_2_202,0,0
25,49,25_2512_49_52500,,Hondarribi,1,,shp_25_2512,0,0
