service_id,date,exception_type
18,20240725,1
39,20240725,2
31,20240731,1
39,20240731,2
39,20240801,2
40,20240802,2
41,20240803,2
42,20240804,2
39,20240805,2
39,20240806,2
39,20240807,2
39,20240808,2
40,20240809,2
41,20240810,2
42,20240811,2
39,20240812,2
39,20240813,2
39,20240814,2
32,20240815,1
49,20240815,2
39,20240815,2
40,20240816,2
41,20240817,2
42,20240818,2
39,20240819,2
39,20240820,2
39,20240821,2
39,20240822,2
40,20240823,2
41,20240824,2
42,20240825,2
39,20240826,2
39,20240827,2
39,20240828,2
39,20240829,2
40,20240830,2
41,20240831,2
