route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
9,28,9_902_28_68400,,Zumaia,1,,shp_9_902,0,0
2,39,2_203_39_23100,,Donostia,0,,shp_2_203,0,0
4,32,4_401_32_60300,,Ondarroa,0,,shp_4_401,0,0
2,39,2_208_39_48000,,Eibar,1,,shp_2_208,0,0
9,40,9_902_40_38700,,Zumaia,1,,shp_9_902,0,0
10,40,10_1002_40_43200,,Zumaia,1,,shp_10_1002,0,0
11,39,11_1103_39_45000,,Ospitaleak,0,,shp_11_1103,0,0
9,47,9_901_47_50700,,Donostia,0,,shp_9_901,0,0
4,39,4_404_39_22500,,Mallabia,1,,shp_4_404,0,0
4,40,4_404_40_45000,,Mallabia,1,,shp_4_404,0,0
8,18,8_802_18_46200,,Zarautz,1,,shp_8_802,0,0
3,18,3_301_18_45000,,Donostia,0,,shp_3_301,0,0
5,31,5_506_31_69000,,Deba,1,,shp_5_506,0,0
6,41,6_602_41_78000,,Soraluze,1,,shp_6_602,0,0
45,28,45_4505_28_81900,,Zumaia,0,,shp_45_4505,0,0
7,49,7_704_49_63000,,Zumaia,1,,shp_7_704,0,0
5,27,5_506_27_79800,,Deba,1,,shp_5_506,0,0
7,42,7_704_42_63000,,Zumaia,1,,shp_7_704,0,0
2,28,2_206_28_66000,,Ermua,1,,shp_2_206,0,0
2,41,2_206_41_81300,,Ermua,1,,shp_2_206,0,0
11,48,11_1104_48_40500,,Zumaia,1,,shp_11_1104,0,0
2,48,2_206_48_81300,,Ermua,1,,shp_2_206,0,0
6,48,6_602_48_78000,,Soraluze,1,,shp_6_602,0,0
4,40,4_416_40_47400,,Ermua,1,,shp_4_416,0,0
10,40,10_1002_40_32400,,Zumaia,1,,shp_10_1002,0,0
9,47,9_902_47_38700,,Zumaia,1,,shp_9_902,0,0
2,18,2_206_18_69600,,Ermua,1,,shp_2_206,0,0
11,39,11_1104_39_36900,,Zumaia,1,,shp_11_1104,0,0
11,39,11_1103_39_34200,,Ospitaleak,0,,shp_11_1103,0,0
9,40,9_905_40_35400,,Donostia,0,,shp_9_905,0,0
6,39,6_602_39_31200,,Soraluze,1,,shp_6_602,0,0
10,47,10_1001_47_48300,,Donostia,0,,shp_10_1001,0,0
1,31,1_101_31_66600,,Elgeta,0,,shp_1_101,0,0
4,40,4_416_40_36600,,Ermua,1,,shp_4_416,0,0
4,31,4_401_31_79200,,Ondarroa,0,,shp_4_401,0,0
1,32,1_101_32_48600,,Elgeta,0,,shp_1_101,0,0
9,49,9_906_49_60300,,Zarautz,1,,shp_9_906,0,0
9,40,9_901_40_50700,,Donostia,0,,shp_9_901,0,0
4,40,4_416_40_25800,,Ermua,1,,shp_4_416,0,0
1,31,1_101_31_55800,,Elgeta,0,,shp_1_101,0,0
5,47,5_506_47_51000,,Deba,1,,shp_5_506,0,0
8,40,8_801_40_54300,,Orio,0,,shp_8_801,0,0
6,49,6_602_49_38400,,Soraluze,1,,shp_6_602,0,0
2,40,2_205_40_21600,,Donostia,0,,shp_2_205,0,0
49,47,49_4902_47_0,,Zumaia,1,,shp_49_4902,0,0
6,31,6_601_31_38400,,Ondarroa,0,,shp_6_601,0,0
9,41,9_901_41_81000,,Donostia,0,,shp_9_901,0,0
2,49,2_205_49_68400,,Donostia,0,,shp_2_205,0,0
10,40,10_1002_40_54000,,Zumaia,1,,shp_10_1002,0,0
11,39,11_1101_39_74700,,Donostia,0,,shp_11_1101,0,0
6,42,6_602_42_49200,,Soraluze,1,,shp_6_602,0,0
3,31,3_302_31_61200,,Lekeitio,1,,shp_3_302,0,0
5,41,5_508_41_72900,,Mutriku,1,,shp_5_508,0,0
9,18,9_902_18_50400,,Zumaia,1,,shp_9_902,0,0
9,28,9_902_28_79200,,Zumaia,1,,shp_9_902,0,0
4,49,4_402_49_54600,,Mallabia,1,,shp_4_402,0,0
1,49,1_101_49_23400,,Elgeta,0,,shp_1_101,0,0
4,32,4_401_32_71100,,Ondarroa,0,,shp_4_401,0,0
8,39,8_801_39_72300,,Orio,0,,shp_8_801,0,0
6,47,6_601_47_42000,,Ondarroa,0,,shp_6_601,0,0
9,39,9_908_39_65700,,Orio,1,,shp_9_908,0,0
8,42,8_802_42_60600,,Zarautz,1,,shp_8_802,0,0
4,39,4_401_39_71100,,Ondarroa,0,,shp_4_401,0,0
4,40,4_404_40_34200,,Mallabia,1,,shp_4_404,0,0
5,31,5_506_31_47400,,Deba,1,,shp_5_506,0,0
10,40,10_1001_40_48300,,Donostia,0,,shp_10_1001,0,0
10,48,10_1001_48_54000,,Donostia,0,,shp_10_1001,0,0
5,27,5_505_27_71100,,Zumaia,0,,shp_5_505,0,0
1,49,1_102_49_60600,,Eibar,1,,shp_1_102,0,0
9,32,9_901_32_77400,,Donostia,0,,shp_9_901,0,0
10,47,10_1002_47_54000,,Zumaia,1,,shp_10_1002,0,0
