service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20080101,20241231
2,0,0,0,0,0,1,0,20080101,20241231
3,0,0,0,0,0,0,1,20080101,20241231
21,0,1,1,1,0,0,0,20240801,20240831
22,1,1,1,1,0,0,0,20240701,20240731
26,0,0,0,0,1,0,0,20150301,20241231
29,0,0,0,0,1,0,0,20240701,20240731
30,0,0,0,0,1,0,0,20240801,20240831
31,0,0,0,0,0,1,0,20240801,20240831
32,0,0,0,0,0,0,1,20240801,20240831
38,1,0,0,0,0,0,0,20240801,20240831
39,0,0,0,0,0,1,0,20240701,20240731
40,0,0,0,0,0,0,1,20240701,20240731
