service_id,date,exception_type
1,20240708,2
1,20240709,2
1,20240710,2
1,20240711,2
26,20240712,2
2,20240713,2
3,20240714,2
1,20240715,2
1,20240716,2
1,20240717,2
1,20240718,2
26,20240719,2
2,20240720,2
3,20240721,2
1,20240722,2
1,20240723,2
1,20240724,2
10,20240725,1
22,20240725,2
1,20240725,2
26,20240726,2
2,20240727,2
3,20240728,2
1,20240729,2
1,20240730,2
11,20240731,1
22,20240731,2
1,20240731,2
1,20240801,2
26,20240802,2
2,20240803,2
3,20240804,2
1,20240805,2
1,20240806,2
1,20240807,2
1,20240808,2
26,20240809,2
2,20240810,2
3,20240811,2
1,20240812,2
1,20240813,2
1,20240814,2
13,20240815,1
21,20240815,2
1,20240815,2
26,20240816,2
2,20240817,2
3,20240818,2
1,20240819,2
1,20240820,2
1,20240821,2
1,20240822,2
26,20240823,2
2,20240824,2
3,20240825,2
1,20240826,2
1,20240827,2
1,20240828,2
1,20240829,2
26,20240830,2
2,20240831,2
