route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,4,1_2_4_56400,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_63600,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_1_3_54600,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_36600,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_51000,,1.ibilbide,0,,shp_1_1,0,0
2,5,2_1_5_18000,,3 Ibilbide,0,,shp_2_1,0,0
1,1,1_2_1_42000,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_1_4_43800,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_2_1_31200,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_49200,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_81600,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_1_3_36600,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_58200,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_40200,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_69000,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_2_1_34800,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_67200,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_1_4_29400,,1.ibilbide,0,,shp_1_1,0,0
1,3,1_1_3_47400,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_72600,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_2_1_78000,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_70800,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_1_2_54600,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_79800,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_1_2_29400,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_54600,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_2_1_60000,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_38400,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_1_4_61800,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_2_4_45600,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_60000,,2 Ibilbide,0,,shp_1_2,0,0
2,5,2_1_5_7200,,3 Ibilbide,0,,shp_2_1,0,0
2,5,2_1_5_10800,,3 Ibilbide,0,,shp_2_1,0,0
1,4,1_1_4_54600,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_2_4_38400,,2 Ibilbide,0,,shp_1_2,0,0
2,5,2_1_5_3600,,3 Ibilbide,0,,shp_2_1,0,0
2,5,2_1_5_14400,,3 Ibilbide,0,,shp_2_1,0,0
1,4,1_2_4_42000,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_1_2_47400,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_2_2_31200,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_2_3_49200,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_1_3_43800,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_33000,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_76200,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_2_2_34800,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_63600,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_1_3_40200,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_33000,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_79800,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_1_2_40200,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_43800,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_2_2_38400,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_56400,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_2_3_27600,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_1_2_25800,,1.ibilbide,0,,shp_1_1,0,0
1,3,1_2_3_34800,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_2_2_52800,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_49200,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_1_4_76200,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_29400,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_36600,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_58200,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_69000,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_1_2_33000,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_51000,,1.ibilbide,0,,shp_1_1,0,0
1,3,1_2_3_52800,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_34800,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_27600,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_2_4_78000,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_2_3_45600,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_1_2_51000,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_72600,,1.ibilbide,0,,shp_1_1,0,0
1,3,1_1_3_25800,,1.ibilbide,0,,shp_1_1,0,0
1,3,1_1_3_33000,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_1_2_43800,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_2_1_70800,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_2_3_42000,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_45600,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_1_1_61800,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_2_2_27600,,2 Ibilbide,0,,shp_1_2,0,0
2,5,2_1_5_0,,3 Ibilbide,0,,shp_2_1,0,0
1,2,1_2_2_49200,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_2_1_67200,,2 Ibilbide,0,,shp_1_2,0,0
1,3,1_2_3_31200,,2 Ibilbide,0,,shp_1_2,0,0
1,4,1_1_4_47400,,1.ibilbide,0,,shp_1_1,0,0
1,2,1_2_2_42000,,2 Ibilbide,0,,shp_1_2,0,0
1,2,1_1_2_36600,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_2_4_52800,,2 Ibilbide,0,,shp_1_2,0,0
1,1,1_1_1_40200,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_47400,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_25800,,1.ibilbide,0,,shp_1_1,0,0
1,1,1_1_1_65400,,1.ibilbide,0,,shp_1_1,0,0
1,4,1_1_4_65400,,1.ibilbide,0,,shp_1_1,0,0
