service_id,date,exception_type
56,20240724,1
13,20240724,2
55,20240725,1
13,20240725,2
70,20240730,1
13,20240730,2
12,20240731,1
13,20240731,2
13,20240801,2
15,20240802,2
14,20240803,2
7,20240804,2
13,20240805,2
13,20240806,2
13,20240807,2
13,20240808,2
15,20240809,2
14,20240810,2
7,20240811,2
13,20240812,2
13,20240813,2
58,20240814,1
8,20240814,2
13,20240814,2
57,20240815,1
8,20240815,2
13,20240815,2
15,20240816,2
14,20240817,2
7,20240818,2
13,20240819,2
13,20240820,2
13,20240821,2
13,20240822,2
15,20240823,2
14,20240824,2
7,20240825,2
13,20240826,2
13,20240827,2
13,20240828,2
13,20240829,2
15,20240830,2
14,20240831,2
