route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,16,13_1302_16_77400,,,1,,shp_13_1302,0,0
13,15,13_1301_15_55200,,,0,,shp_13_1301,0,0
6,11,6_601_11_33000,,,0,,shp_6_601,0,0
2,70,2_204_70_52200,,,1,,shp_2_204,0,0
13,55,13_1302_55_72000,,,1,,shp_13_1302,0,0
5,70,5_501_70_46500,,,0,,shp_5_501,0,0
20,15,20_2001_15_63900,,,0,,shp_20_2001,0,0
5,56,5_502_56_22500,,,1,,shp_5_502,0,0
8,15,8_801_15_60000,,,0,,shp_8_801,0,0
11,56,11_1102_56_67200,,,1,,shp_11_1102,0,0
8,15,8_801_15_25500,,,0,,shp_8_801,0,0
12,9,12_1202_9_72900,,,1,,shp_12_1202,0,0
13,8,13_1301_8_70800,,,0,,shp_13_1301,0,0
7,12,7_702_12_38700,,,1,,shp_7_702,0,0
7,55,7_702_55_24300,,,1,,shp_7_702,0,0
11,9,11_1102_9_60000,,,1,,shp_11_1102,0,0
12,9,12_1201_9_58500,,,0,,shp_12_1201,0,0
8,56,8_802_56_77400,,,1,,shp_8_802,0,0
8,58,8_801_58_67200,,,0,,shp_8_801,0,0
11,13,11_1102_13_60000,,,1,,shp_11_1102,0,0
5,57,5_501_57_41100,,,0,,shp_5_501,0,0
10,16,10_1002_16_35700,,,1,,shp_10_1002,0,0
5,8,5_502_8_40500,,,1,,shp_5_502,0,0
6,70,6_602_70_51600,,,1,,shp_6_602,0,0
5,13,5_502_13_36900,,,1,,shp_5_502,0,0
5,12,5_502_12_65700,,,1,,shp_5_502,0,0
20,70,20_2002_70_42300,,,1,,shp_20_2002,0,0
3,56,3_303_56_69480,,,0,,shp_3_303,0,0
5,55,5_502_55_51300,,,1,,shp_5_502,0,0
3,8,3_303_8_50580,,,0,,shp_3_303,0,0
4,16,4_404_16_48300,,,1,,shp_4_404,0,0
4,55,4_403_55_80880,,,0,,shp_4_403,0,0
12,8,12_1201_8_23400,,,0,,shp_12_1201,0,0
7,16,7_701_16_77100,,,0,,shp_7_701,0,0
4,13,4_404_13_63000,,,1,,shp_4_404,0,0
11,14,11_1101_14_44100,,,0,,shp_11_1101,0,0
11,15,11_1101_15_43800,,,0,,shp_11_1101,0,0
10,10,10_1003_10_54900,,,0,,shp_10_1003,0,0
10,14,10_1003_14_44100,,,0,,shp_10_1003,0,0
11,12,11_1102_12_81000,,,1,,shp_11_1102,0,0
3,13,3_303_13_62280,,,0,,shp_3_303,0,0
3,58,3_303_58_54180,,,0,,shp_3_303,0,0
3,13,3_303_13_19980,,,0,,shp_3_303,0,0
13,56,13_1302_56_51000,,,1,,shp_13_1302,0,0
8,70,8_802_70_32400,,,1,,shp_8_802,0,0
12,11,12_1201_11_27900,,,0,,shp_12_1201,0,0
13,58,13_1301_58_34800,,,0,,shp_13_1301,0,0
12,56,12_1201_56_81000,,,0,,shp_12_1201,0,0
12,56,12_1201_56_19800,,,0,,shp_12_1201,0,0
5,58,5_502_58_71100,,,1,,shp_5_502,0,0
8,12,8_802_12_36000,,,1,,shp_8_802,0,0
3,14,3_303_14_25680,,,0,,shp_3_303,0,0
12,58,12_1202_58_47700,,,1,,shp_12_1202,0,0
5,16,5_501_16_60900,,,0,,shp_5_501,0,0
8,10,8_802_10_50400,,,1,,shp_8_802,0,0
13,57,13_1301_57_55800,,,0,,shp_13_1301,0,0
11,55,11_1101_55_65700,,,0,,shp_11_1101,0,0
41,12,41_4101_12_16440,,,0,,shp_41_4101,0,0
12,16,12_1201_16_51300,,,0,,shp_12_1201,0,0
6,57,6_602_57_67800,,,1,,shp_6_602,0,0
12,7,12_1201_7_72900,,,0,,shp_12_1201,0,0
12,57,12_1201_57_33300,,,0,,shp_12_1201,0,0
