route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,10,5_502_10_73200,,Tolosa,1,,shp_5_502,0,0
3,10,3_301_10_67800,,Orexa,0,,shp_3_301,0,0
7,21,7_707_21_78000,,Larraul,0,,shp_7_707,0,0
1,3,1_101_3_72000,,Abaltziske,0,,shp_1_101,0,0
2,2,2_201_2_52500,,Berastegi,0,,shp_2_201,0,0
4,2,4_401_2_71100,,Gaztelu,0,,shp_4_401,0,0
8,18,8_801_18_48300,,Aduna,0,,shp_8_801,0,0
5,11,5_502_11_30600,,Tolosa,1,,shp_5_502,0,0
1,18,1_102_18_49200,,Tolosa,1,,shp_1_102,0,0
23,12,23_2302_12_52200,,Andoain,0,,shp_23_2302,0,0
7,10,7_706_10_80100,,Tolosa,1,,shp_7_706,0,0
1,18,1_102_18_66900,,Tolosa,1,,shp_1_102,0,0
22,22,22_2202_22_57600,,Zizurkil,1,,shp_22_2202,0,0
4,12,4_402_12_71400,,Tolosa,1,,shp_4_402,0,0
21,21,21_2102_21_73800,,Tolosa,1,,shp_21_2102,0,0
3,3,3_302_3_31200,,Tolosa,1,,shp_3_302,0,0
1,21,1_102_21_60300,,Tolosa,1,,shp_1_102,0,0
5,11,5_502_11_44400,,Tolosa,1,,shp_5_502,0,0
1,10,1_101_10_27000,,Abaltziske,0,,shp_1_101,0,0
22,21,22_2201_21_46200,,Villabona,0,,shp_22_2201,0,0
8,10,8_801_10_66300,,Aduna,0,,shp_8_801,0,0
5,2,5_502_2_75600,,Tolosa,1,,shp_5_502,0,0
4,3,4_402_3_46800,,Tolosa,1,,shp_4_402,0,0
21,3,21_2102_3_73800,,Tolosa,1,,shp_21_2102,0,0
2,11,2_201_11_27000,,Berastegi,0,,shp_2_201,0,0
22,3,22_2201_3_39000,,Villabona,0,,shp_22_2201,0,0
22,10,22_2202_10_51900,,Zizurkil,1,,shp_22_2202,0,0
4,21,4_403_21_52200,,Gaztelu,0,,shp_4_403,0,0
5,3,5_501_3_29400,,Bidania,0,,shp_5_501,0,0
24,2,24_2401_2_32700,,Abaltziske,1,,shp_24_2401,0,0
2,21,2_202_21_54600,,Tolosa,1,,shp_2_202,0,0
1,11,1_101_11_72000,,Abaltziske,0,,shp_1_101,0,0
2,18,2_201_18_52500,,Berastegi,0,,shp_2_201,0,0
29,3,29_2901_3_49200,,Ibarra,0,,shp_29_2901,0,0
2,2,2_201_2_28800,,Berastegi,0,,shp_2_201,0,0
1,21,1_101_21_65400,,Abaltziske,0,,shp_1_101,0,0
25,22,25_2501_22_48300,,Altzo,0,,shp_25_2501,0,0
6,21,6_601_21_48000,,Iba-apatta,0,,shp_6_601,0,0
29,21,29_2901_21_47700,,Ibarra,0,,shp_29_2901,0,0
1,12,1_101_12_43200,,Abaltziske,0,,shp_1_101,0,0
24,10,24_2401_10_43800,,Abaltziske,1,,shp_24_2401,0,0
29,10,29_2901_10_61500,,Ibarra,0,,shp_29_2901,0,0
2,3,2_202_3_49800,,Tolosa,1,,shp_2_202,0,0
3,21,3_302_21_48900,,Tolosa,1,,shp_3_302,0,0
5,22,5_502_22_66900,,Tolosa,1,,shp_5_502,0,0
1,12,1_101_12_32400,,Abaltziske,0,,shp_1_101,0,0
26,3,26_2602_3_33600,,Alegia,0,,shp_26_2602,0,0
1,2,1_101_2_47700,,Abaltziske,0,,shp_1_101,0,0
20,12,20_2001_12_29400,,Alkiza,0,,shp_20_2001,0,0
8,22,8_802_22_68700,,Larraul,1,,shp_8_802,0,0
23,21,23_2301_21_26400,,Aduna,1,,shp_23_2301,0,0
21,21,21_2102_21_53100,,Tolosa,1,,shp_21_2102,0,0
3,22,3_301_22_25200,,Orexa,0,,shp_3_301,0,0
29,2,29_2901_2_48600,,Ibarra,0,,shp_29_2901,0,0
26,12,26_2601_12_60600,,Baliarrain,1,,shp_26_2601,0,0
1,3,1_102_3_73500,,Tolosa,1,,shp_1_102,0,0
8,21,8_801_21_40800,,Aduna,0,,shp_8_801,0,0
2,22,2_202_22_58200,,Tolosa,1,,shp_2_202,0,0
1,18,1_101_18_73800,,Abaltziske,0,,shp_1_101,0,0
3,12,3_301_12_47700,,Orexa,0,,shp_3_301,0,0
23,11,23_2301_11_31800,,Aduna,1,,shp_23_2301,0,0
1,3,1_101_3_78000,,Abaltziske,0,,shp_1_101,0,0
20,22,20_2002_22_66000,,Tolosa,1,,shp_20_2002,0,0
23,21,23_2302_21_47700,,Andoain,0,,shp_23_2302,0,0
28,21,28_2801_21_53700,,Tol-bedaio,0,,shp_28_2801,0,0
20,12,20_2001_12_70800,,Alkiza,0,,shp_20_2001,0,0
25,21,25_2501_21_25800,,Altzo,0,,shp_25_2501,0,0
26,21,26_2602_21_28500,,Alegia,0,,shp_26_2602,0,0
5,2,5_501_2_74100,,Bidania,0,,shp_5_501,0,0
7,10,7_701_10_50400,,Asteasu,0,,shp_7_701,0,0
28,21,28_2802_21_57600,,Amez-ugart,1,,shp_28_2802,0,0
25,12,25_2501_12_30300,,Altzo,0,,shp_25_2501,0,0
8,21,8_802_21_25800,,Larraul,1,,shp_8_802,0,0
20,10,20_2002_10_30600,,Tolosa,1,,shp_20_2002,0,0
7,12,7_702_12_70200,,Tolosa,1,,shp_7_702,0,0
20,18,20_2002_18_72000,,Tolosa,1,,shp_20_2002,0,0
3,22,3_302_22_57600,,Tolosa,1,,shp_3_302,0,0
2,18,2_202_18_61200,,Tolosa,1,,shp_2_202,0,0
20,3,20_2002_3_45000,,Tolosa,1,,shp_20_2002,0,0
20,18,20_2001_18_60300,,Alkiza,0,,shp_20_2001,0,0
1,22,1_101_22_47400,,Abaltziske,0,,shp_1_101,0,0
1,21,1_102_21_78900,,Tolosa,1,,shp_1_102,0,0
5,3,5_502_3_73200,,Tolosa,1,,shp_5_502,0,0
25,12,25_2502_12_34200,,Alegia,1,,shp_25_2502,0,0
23,18,23_2301_18_28200,,Aduna,1,,shp_23_2301,0,0
3,22,3_301_22_22500,,Orexa,0,,shp_3_301,0,0
20,2,20_2001_2_60300,,Alkiza,0,,shp_20_2001,0,0
8,18,8_802_18_65100,,Larraul,1,,shp_8_802,0,0
24,21,24_2401_21_56400,,Abaltziske,1,,shp_24_2401,0,0
8,21,8_802_21_55500,,Larraul,1,,shp_8_802,0,0
7,22,7_702_22_54000,,Tolosa,1,,shp_7_702,0,0
3,2,3_302_2_48900,,Tolosa,1,,shp_3_302,0,0
21,21,21_2102_21_26400,,Tolosa,1,,shp_21_2102,0,0
29,2,29_2902_2_61200,,Ibar-izask,1,,shp_29_2902,0,0
5,22,5_502_22_46500,,Tolosa,1,,shp_5_502,0,0
3,22,3_304_22_30000,,Tolo-sluzi,1,,shp_3_304,0,0
7,18,7_701_18_24600,,Asteasu,0,,shp_7_701,0,0
3,18,3_301_18_68400,,Orexa,0,,shp_3_301,0,0
1,10,1_102_10_59100,,Tolosa,1,,shp_1_102,0,0
2,21,2_201_21_47100,,Berastegi,0,,shp_2_201,0,0
5,22,5_502_22_74700,,Tolosa,1,,shp_5_502,0,0
3,10,3_301_10_72900,,Orexa,0,,shp_3_301,0,0
4,11,4_402_11_46800,,Tolosa,1,,shp_4_402,0,0
21,18,21_2102_18_67800,,Tolosa,1,,shp_21_2102,0,0
23,2,23_2302_2_47700,,Andoain,0,,shp_23_2302,0,0
3,2,3_301_2_72900,,Orexa,0,,shp_3_301,0,0
