Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,distance,original_distance,Coworking,Coworking_days,Rem_work,drive_tt,walk_tt,distance_stop_0,distance_stop_1,distance_stop_2,distance_stop_3,distance_stop_4,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,geometry,distance_base,Mode,Mode_base,prediction,prediction_base,eCar,CO2,CO2_over_target,CO2_worst_case,CO2_worst_case_over_target,distance_week,distance_week_interv,distance_week_no_interv,weighted_d,n_close_stops
97,2,2,1,5,1,-2.0723083895730228,43.14007565985755,-2.033693,43.256347,14566.219,14566.219,0,0,0,13.805366666666666,268.78475,84.865,99.956,206.936,226.142,226.142,40.853,4,71,40,POINT (-2.0723083895730228 43.14007565985755),14566.219,PT,PT,1,1,0,17.566860114,0.992909484704348,27.675816099999995,1.5642852578260869,145662.19,0.0,145662.19,1.7668765781301061,5
97,2,3,1,5,1,-1.7896636650809596,43.32634912955611,-2.033693,43.256347,24380.974,24380.974,0,0,0,20.919333333333334,413.73465000000004,133.713,539.058,809.977,809.977,835.58,61.991,4,45,40,POINT (-1.7896636650809596 43.32634912955611),24380.974,Car,Car,2,2,0,46.3238506,2.6183045991304352,46.3238506,2.6183045991304352,243809.74,0.0,243809.74,4.429390224276858,1
97,2,4,2,5,1,-1.972802586577228,43.325220347847136,-2.033693,43.256347,10831.318,10831.318,0,0,0,13.34535,183.55265,201.094,240.531,263.823,279.358,303.723,42.082,2,69,40,POINT (-1.972802586577228 43.325220347847136),10831.318,Car,Car,2,2,0,20.579504199999995,1.163189367826087,20.5795042,1.163189367826087,108313.18,0.0,108313.18,1.85957928737776,5
97,2,2,1,5,1,-2.0151420731913774,43.30365479349865,-2.033693,43.256347,7627.694,7627.694,0,0,0,8.345066666666666,123.80563333333333,0.0,31.299,74.798,252.234,265.057,33.677,2,69,40,POINT (-2.0151420731913774 43.30365479349865),7627.694,Car,Car,2,2,0,14.4926186,0.8191480078260871,14.4926186,0.8191480078260871,76276.94,0.0,76276.94,1.6382960156521742,5
97,1,2,2,4,1,-1.9493244121313769,43.31839079823728,-2.033693,43.256347,11661.997,11661.997,0,0,0,13.835566666666667,205.42419999999998,146.108,208.7,286.05,347.556,360.083,46.468,1,69,40,POINT (-1.9493244121313769 43.31839079823728),11661.997,Car,Car,2,2,0,22.1577943,1.252397069130435,22.1577943,1.252397069130435,116619.97,0.0,116619.97,2.094612677770339,5
97,2,3,2,5,1,-1.9769239459276644,43.320569956193296,-2.033693,43.256347,10143.874,10143.874,0,0,0,12.218333333333334,174.94368333333333,79.739,221.577,256.388,261.597,270.848,39.444,4,69,40,POINT (-1.9769239459276644 43.320569956193296),10143.874,Car,Car,2,2,0,19.2733606,1.0893638600000002,19.2733606,1.0893638600000002,101438.73999999999,0.0,101438.73999999999,1.9499790667604333,5
97,2,3,1,3,1,-1.9699574564634512,43.322688318466334,-2.033693,43.256347,10831.86,10831.86,0,0,0,13.3168,184.3735,155.099,212.959,215.875,215.875,228.958,39.995,2,69,40,POINT (-1.9699574564634512 43.322688318466334),10831.86,Car,Car,2,2,0,20.580534000000004,1.163247573913044,20.580534,1.1632475739130437,108318.6,0.0,108318.6,1.9300571519914689,5
97,2,3,1,4,1,-2.2089989655760465,43.04661953124635,-2.033693,43.256347,31404.491,31404.491,0,0,0,26.979733333333336,559.5615333333334,243.31,438.936,592.179,606.662,652.039,61.564,2,19,40,POINT (-2.2089989655760465 43.04661953124635),31404.491,Car,Car,2,2,0,59.6685329,3.372569250869566,59.668532899999995,3.3725692508695655,314044.91000000003,0.0,314044.91000000003,5.23480402523571,2
97,2,2,1,5,1,-2.414010673829179,43.21705554483315,-2.033693,43.256347,43534.135,43534.135,0,0,0,30.8243,633.6097000000001,162.407,162.407,162.407,302.559,302.559,66.379,4,32,40,POINT (-2.414010673829179 43.21705554483315),43534.135,Car,Car,2,2,0,82.71485650000001,4.675187541304349,82.7148565,4.675187541304348,435341.35000000003,0.0,435341.35000000003,7.708351534045169,5
97,2,3,2,5,1,-2.075872910128377,43.1384724713121,-2.033693,43.256347,15202.133,15202.133,0,0,0,15.39505,275.5760333333334,254.605,254.605,279.161,298.076,298.076,42.407,6,71,83,POINT (-2.075872910128377 43.1384724713121),15202.133,Car,Car,2,2,0,28.8840527,1.6325768917391308,28.884052699999998,1.6325768917391306,152021.33,0.0,152021.33,2.5156794016727577,5
