Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
2608,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Bicicleta,08:00,22,Donostia/San Sebastian,2,2,2,2 adultos con niño(s),1,5,1,1,2021,25818.26,3,-1.9854282656041449,43.31568020306815,-2.033693,43.256347
5636,Debagoiena,Debagoiena,Oñati,Arrasate/Mondragon,Coche pasajero,08:00,22,Arrasate/Mondragon,2,1,1,Otros hogares sin niños,1,3,1,2,2021,20631.045,1,-2.4115111362119026,43.023843786012456,-2.033693,43.256347
4026,Tolosaldea,Donostialdea,Tolosa,Lasarte-Oria,Coche conductor,08:00,22,Tolosa,2,4,1,Otros hogares sin niños,1,3,1,1,2021,24788.185,3,-2.077311617536783,43.13107320438318,-2.033693,43.256347
10342,Debabarrena,Debabarrena,Mutriku,Mutriku,Andando,08:00,22,Mutriku,1,2,1,2 adultos,2,5,1,1,2021,24476.31,3,-2.408697449739557,43.29564908689937,-2.033693,43.256347
9256,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Moto,08:00,22,Donostia/San Sebastian,2,4,2,Otros hogares con niños,2,3,4,1,2021,8414.625,1,-1.969197664369548,43.32180774974918,-2.033693,43.256347
1533,Donostialdea,Debagoiena,Usurbil,Bergara,Coche conductor,08:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.0388633430589485,43.27395075184399,-2.033693,43.256347
4081,Donostialdea,Donostialdea,Hernani,Pasaia,Moto,08:00,22,Pasaia,2,3,2,Otros hogares con niños,1,6,1,1,2021,24416.41,2,-1.9691650041871545,43.272572949090666,-2.033693,43.256347
7619,Debabarrena,Urola Kosta       ,Eibar,Zarautz,Coche pasajero,08:00,22,Eibar,1,1,1,Hogar de una persona,1,4,1,1,2021,22208.4,1,-2.4813404167723854,43.18419110106136,-2.033693,43.256347
7594,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,08:00,22,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.857384951148714,43.29443607415852,-2.033693,43.256347
10152,Bidasoa,Bidasoa,Irun,Hondarribia,Coche pasajero,08:00,22,Hondarribia,1,2,1,2 adultos,2,6,1,1,2021,22550.520000000004,1,-1.7893972473331534,43.309825158481566,-2.033693,43.256347
2499,Bidasoa,Bidasoa,Irun,Irun,Coche conductor,08:00,22,Irun,2,3,3,2 adultos con niño(s),2,5,1,1,2021,20449.15,1,-1.794932987674438,43.3395366382108,-2.033693,43.256347
864,Donostialdea,Donostialdea,Andoain,Andoain,Coche conductor,08:00,22,Andoain,2,3,1,Otros hogares sin niños,1,4,1,1,2021,24436.16,3,-2.0250909048629824,43.22649273096982,-2.033693,43.256347
3537,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,1,2,2,2 adultos,2,3,1,1,2021,21161.745000000003,1,-2.003816713452596,43.315832078835456,-2.033693,43.256347
3512,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,4,1,2,2021,24441.16,3,-1.9729442006057485,43.324687718135785,-2.033693,43.256347
10393,Urola Kosta       ,Urola Kosta       ,Zumaia,Zumaia,Andando,08:00,22,Zumaia,2,2,1,Otros hogares con niños,2,5,1,2,2021,20840.95,1,-2.2345171229533247,43.28236027294449,-2.033693,43.256347
10415,Tolosaldea,Bidasoa,Tolosa,Hondarribia,Coche conductor,08:00,22,Hondarribia,1,2,1,1 adulto con niño(s),2,5,1,1,2021,26074.16,3,-2.074623258221836,43.13690497627318,-2.033693,43.256347
261,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,21,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,5,1,1,2021,23874.8,2,-1.9698662089647871,43.31822722016429,-2.033693,43.256347
9381,Bidasoa,Bidasoa,Irun,Irun,Andando,08:00,23,Irun,2,1,1,Otros hogares con niños,2,5,1,2,2021,20277.55,1,-1.7777884035682752,43.341087202145886,-2.033693,43.256347
2934,Donostialdea,Donostialdea,Hernani,Hernani,Andando,08:00,22,Hernani,2,3,2,Otros hogares sin niños,1,5,1,1,2021,28031.01,4,-1.9784328396059585,43.267236612392594,-2.033693,43.256347
6080,Bidasoa,Bidasoa,Irun,Irun,Andando,08:00,22,Irun,2,3,1,2 adultos con niño(s),2,5,1,1,2021,25746.91,3,-1.776264015355218,43.32950812170282,-2.033693,43.256347
5607,Donostialdea,Donostialdea,Oiartzun,Lezo,Coche conductor,08:00,22,Irun,2,3,2,2 adultos con niño(s),1,5,1,1,2021,25097.96,3,-1.8743457914609964,43.29944016122536,-2.033693,43.256347
8859,Donostialdea,Donostialdea,Andoain,Andoain,Coche conductor,08:00,22,Andoain,1,3,2,2 adultos,2,5,1,1,2021,26718.16,4,-2.0258991734820446,43.21768125078345,-2.033693,43.256347
3213,Bidasoa,Donostialdea,Hondarribia,Donostia/San Sebastian,Coche conductor,08:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,4,1,1,2021,24992.16,3,-1.8317465240145232,43.34599390323374,-2.033693,43.256347
2515,Donostialdea,Urola Kosta       ,Donostia/San Sebastian,Zarautz,Autobús interurbano,08:00,22,Zarautz,2,3,1,Otros hogares sin niños,2,3,1,1,2021,24620.235,3,-1.9582961379192665,43.32234053707876,-2.033693,43.256347
9145,Donostialdea,Tolosaldea,Errenteria,Villabona,Coche conductor,08:00,22,Villabona,2,3,2,Otros hogares sin niños,2,3,1,1,2021,20181.095,1,-1.904505448117407,43.3160413303023,-2.033693,43.256347
5264,Donostialdea,Bidasoa,Lezo,Hondarribia,Coche conductor,08:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,5,1,1,2021,23288.25,2,-1.8984732249559304,43.32138138039296,-2.033693,43.256347
