,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
0,Donostialdea,Donostialdea,Errenteria,Errenteria,Coche pasajero,09:00,22,Errenteria,2,3,2,2 adultos con niño(s),2,5,1,1,2021,21756.57,1,-1.8980435174376746,43.31244920636097,-2.033693,43.256347
1,Donostialdea,Donostialdea,Urnieta,Hernani,Coche pasajero,16:50,22,Hernani,1,2,1,Hogar de una persona,2,5,1,1,2021,26874.26,4,-1.998520949419352,43.25193693060251,-2.033693,43.256347
2,Bidasoa,Bidasoa,Irun,Irun,Coche conductor,13:30,22,Irun,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23379.76,2,-1.8054388340778877,43.34263619781374,-2.033693,43.256347
3,Bidasoa,Bidasoa,Irun,Irun,Bicicleta,07:45,22,Irun,2,2,1,2 adultos con niño(s),2,5,1,1,2021,20449.15,1,-1.7892322911210705,43.33469831313249,-2.033693,43.256347
4,Donostialdea,Urola Kosta       ,Donostia/San Sebastian,Zarautz,Coche conductor,19:30,22,Zarautz,2,2,1,2 adultos con niño(s),1,5,1,1,2021,28087.91,4,-2.0193705249344913,43.302445774479864,-2.033693,43.256347
5,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,19:00,22,Donostia/San Sebastian,1,1,1,Hogar de una persona,2,6,1,1,2021,22730.72,2,-1.9361623041824545,43.31616690059146,-2.033693,43.256347
6,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Andando,20:30,23,Donostia/San Sebastian,2,2,1,2 adultos con niño(s),2,5,1,1,2021,22504.87,1,-1.9696902385316934,43.3185345303241,-2.033693,43.256347
7,Donostialdea,Donostialdea,Oiartzun,Oiartzun,Andando,15:30,22,Oiartzun,2,3,1,Otros hogares con niños,2,5,1,1,2021,25938.61,4,-1.8738407184038393,43.30859626122816,-2.033693,43.256347
8,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,09:00,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,1,5,1,1,2021,28013.81,4,-1.9955500347704596,43.29195405469943,-2.033693,43.256347
9,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,16:15,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25976.26,3,-2.0203464132569207,43.26812525604369,-2.033693,43.256347
10,Donostialdea,Tolosaldea,Donostia/San Sebastian,Villabona,Coche conductor,16:00,22,Resto Gipuzkoa,2,3,2,2 adultos con niño(s),2,5,1,1,2021,26046.81,4,-2.0135517698092933,43.30699927058893,-2.033693,43.256347
11,Bidasoa,Donostialdea,Irun,Lezo,Coche conductor,12:00,22,Irun,2,3,1,2 adultos con niño(s),1,4,1,1,2021,23871.26,3,-1.813661861100343,43.33925409727435,-2.033693,43.256347
12,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,08:30,22,Lasarte-Oria,2,3,1,Otros hogares sin niños,1,6,1,1,2021,25257.01,3,-2.0163109299231063,43.25625621354473,-2.033693,43.256347
