id_destino,id_origen,node_id_d,node_id_o
P1,Depot,367159807,9712541063
P2,Depot,589184938,9712541063
P3,Depot,450554102,9712541063
P4,Depot,11465924895,9712541063
P5,Depot,247116452,9712541063
P6,Depot,659001220,9712541063
P7,Depot,564221033,9712541063
P8,Depot,11185664637,9712541063
Depot,P1,9712541063,367159807
P2,P1,589184938,367159807
P3,P1,450554102,367159807
P4,P1,11465924895,367159807
P5,P1,247116452,367159807
P6,P1,659001220,367159807
P7,P1,564221033,367159807
P8,P1,11185664637,367159807
Depot,P2,9712541063,589184938
P1,P2,367159807,589184938
P3,P2,450554102,589184938
P4,P2,11465924895,589184938
P5,P2,247116452,589184938
P6,P2,659001220,589184938
P7,P2,564221033,589184938
P8,P2,11185664637,589184938
Depot,P3,9712541063,450554102
P1,P3,367159807,450554102
P2,P3,589184938,450554102
P4,P3,11465924895,450554102
P5,P3,247116452,450554102
P6,P3,659001220,450554102
P7,P3,564221033,450554102
P8,P3,11185664637,450554102
Depot,P4,9712541063,11465924895
P1,P4,367159807,11465924895
P2,P4,589184938,11465924895
P3,P4,450554102,11465924895
P5,P4,247116452,11465924895
P6,P4,659001220,11465924895
P7,P4,564221033,11465924895
P8,P4,11185664637,11465924895
Depot,P5,9712541063,247116452
P1,P5,367159807,247116452
P2,P5,589184938,247116452
P3,P5,450554102,247116452
P4,P5,11465924895,247116452
P6,P5,659001220,247116452
P7,P5,564221033,247116452
P8,P5,11185664637,247116452
Depot,P6,9712541063,659001220
P1,P6,367159807,659001220
P2,P6,589184938,659001220
P3,P6,450554102,659001220
P4,P6,11465924895,659001220
P5,P6,247116452,659001220
P7,P6,564221033,659001220
P8,P6,11185664637,659001220
Depot,P7,9712541063,564221033
P1,P7,367159807,564221033
P2,P7,589184938,564221033
P3,P7,450554102,564221033
P4,P7,11465924895,564221033
P5,P7,247116452,564221033
P6,P7,659001220,564221033
P8,P7,11185664637,564221033
Depot,P8,9712541063,11185664637
P1,P8,367159807,11185664637
P2,P8,589184938,11185664637
P3,P8,450554102,11185664637
P4,P8,11465924895,11185664637
P5,P8,247116452,11185664637
P6,P8,659001220,11185664637
P7,P8,564221033,11185664637
