alpha,beta,k,m,CO2 total
0.7,4.0,6,6,3517.89660108384
0.1,4.0,3,2,3441.47505364176
0.1,10.0,3,2,3441.47505364176
0.7,4.0,8,8,3393.98491098976
0.7,10.0,8,8,3393.98491098976
0.7,10.0,8,4,3196.2609109897603
1.0,10.0,8,4,3196.2609109897603
1.0,10.0,8,8,3393.98491098976
0.4,10.0,8,8,3393.98491098976
0.4,4.0,8,8,3393.98491098976
0.7,4.0,8,2,3139.57352425984
0.1,4.0,8,2,3139.57352425984
0.1,4.0,5,2,3277.1882100784
1.0,4.0,6,4,3399.2063870296
0.4,4.0,6,4,3496.3859255296
1.0,10.0,8,8,3393.98491098976
1.0,4.0,8,8,3393.98491098976
1.0,4.0,8,4,3196.2609109897603
0.4,4.0,8,4,3196.2609109897603
0.1,1.0,5,4,3425.8469105784
0.7,1.0,5,4,3371.0819145784
0.7,7.0,8,8,3393.98491098976
1.0,1.0,8,8,3393.98491098976
1.0,7.0,8,8,3393.98491098976
1.0,7.0,8,4,3196.2609109897603
0.4,1.0,6,4,3399.2063870296
1.0,1.0,6,4,3309.3684345296
0.1,1.0,6,6,3517.89660108384
0.1,1.0,3,2,3441.47505364176
0.7,1.0,3,2,3279.36594214176
0.7,7.0,3,2,3441.47505364176
0.4,7.0,3,2,3441.47505364176
1.0,7.0,6,6,3517.89660108384
1.0,1.0,6,6,3517.89660108384
0.7,10.0,6,4,3496.3859255296
0.1,1.0,8,4,3196.2609109897603
0.1,1.0,5,4,3425.8469105784
0.1,7.0,5,4,3496.9836045783995
0.1,1.0,6,6,3517.89660108384
0.1,1.0,6,2,3365.01517299696
0.1,7.0,6,2,3365.01517299696
0.1,7.0,3,2,3441.47505364176
0.7,7.0,3,2,3441.47505364176
1.0,1.0,6,6,3517.89660108384
1.0,7.0,6,6,3517.89660108384
1.0,7.0,6,2,3365.01517299696
1.0,7.0,3,2,3441.47505364176
0.4,7.0,3,2,3441.47505364176
0.1,4.0,6,6,3517.89660108384
0.7,4.0,6,6,3517.89660108384
0.7,10.0,6,6,3517.89660108384
0.7,10.0,6,2,3365.01517299696
0.7,10.0,3,2,3441.47505364176
0.1,1.0,6,6,3517.89660108384
0.7,7.0,3,2,3441.47505364176
1.0,10.0,8,2,3136.76602425984
1.0,10.0,8,6,3281.54862498976
1.0,4.0,8,6,3281.54862498976
0.4,4.0,8,6,3281.54862498976
0.4,4.0,5,4,3425.8469105784
0.4,4.0,8,4,3196.2609109897603
0.4,4.0,8,8,3393.98491098976
0.4,10.0,8,8,3393.98491098976
1.0,10.0,8,8,3393.98491098976
0.1,7.0,6,2,3365.01517299696
0.1,1.0,6,2,3365.01517299696
0.1,1.0,3,2,3441.47505364176
1.0,10.0,6,6,3517.89660108384
1.0,10.0,3,2,3441.47505364176
0.4,10.0,3,2,3441.47505364176
0.4,4.0,3,2,3441.47505364176
0.7,1.0,5,4,3371.0819145784
0.7,1.0,8,4,3223.30427598976
0.7,1.0,8,8,3393.98491098976
0.7,7.0,8,8,3393.98491098976
0.1,7.0,8,8,3393.98491098976
1.0,4.0,8,2,3136.76632425984
1.0,4.0,5,2,3277.1882100784
1.0,10.0,5,2,3277.1882100784
0.4,10.0,5,2,3277.1882100784
0.7,1.0,5,4,3371.0819145784
0.7,1.0,8,4,3223.30427598976
0.1,1.0,8,4,3196.2609109897603
0.7,4.0,8,6,3281.54862498976
0.7,10.0,8,6,3281.54862498976
0.1,10.0,5,2,3277.1882100784
0.1,1.0,8,2,3136.76602425984
0.7,1.0,8,2,3136.76602425984
0.7,1.0,5,2,3274.2879765784
0.7,7.0,5,2,3277.1882100784
0.4,10.0,3,2,3441.47505364176
