,Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
0,2120,Bidasoa,Donostialdea,Irun,Andoain,Coche conductor,08:00,22,Andoain,1,2,1,Hogar de una persona,1,5,1,1,2021,26224.31,4,-1.7921791513023426,43.33716509905606,-2.033693,43.256347
1,56,Urola Kosta       ,Donostialdea,Orio,Oiartzun,Coche conductor,08:00,23,Orio,1,3,1,2 adultos,1,3,1,1,2021,25146.835000000003,2,-2.117723829122595,43.27664216556287,-2.033693,43.256347
2,1185,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Autobús interurbano,08:00,23,Errenteria,1,1,1,Hogar de una persona,1,5,1,2,2021,28424.26,4,-1.8962059119955452,43.308604675550114,-2.033693,43.256347
3,2102,Goierri                              ,Donostialdea,Zumarraga,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,1,2,1,2 adultos,1,4,1,1,2021,27790.76,4,-2.297456975756315,43.08914916573783,-2.033693,43.256347
4,1598,Donostialdea,Donostialdea,Donostia/San Sebastian,Usurbil,Coche conductor,08:00,22,Usurbil,2,3,1,Otros hogares sin niños,2,4,1,1,2021,23630.11,2,-2.003500190635134,43.299611944705084,-2.033693,43.256347
5,801,Donostialdea,Donostialdea,Andoain,Errenteria,Coche conductor,08:00,22,Errenteria,2,3,1,2 adultos con niño(s),2,4,1,1,2021,22860.81,1,-2.019262228031557,43.22133655340714,-2.033693,43.256347
6,170,Tolosaldea,Donostialdea,Villabona,Donostia/San Sebastian,Coche conductor,08:00,22,Villabona,2,4,1,2 adultos con niño(s),2,5,1,1,2021,25892.91,3,-2.0467060169028617,43.18244993223406,-2.033693,43.256347
7,1878,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Autobús interurbano,08:00,23,Lasarte-Oria,1,1,1,2 adultos,2,4,1,2,2021,20903.150000000005,1,-2.0182764870734533,43.26976459942241,-2.033693,43.256347
8,1044,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.414097648246961,43.031389165353936,-2.033693,43.256347
9,819,Donostialdea,Donostialdea,Usurbil,Lasarte-Oria,Andando,08:00,99,Lasarte-Oria,2,3,2,Otros hogares con niños,2,3,1,1,2021,23513.035,2,-2.0519346062010966,43.27224205078881,-2.033693,43.256347
10,1512,Bidasoa,Donostialdea,Irun,Lezo,Coche conductor,08:00,22,Lezo,2,3,3,Otros hogares con niños,1,5,1,1,2021,27353.61,4,-1.7883163378213325,43.33943707234858,-2.033693,43.256347
11,693,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,08:00,22,Hernani,2,4,2,Otros hogares sin niños,1,6,1,1,2021,27651.46,4,-1.9756421977753744,43.2763455663497,-2.033693,43.256347
12,237,Donostialdea,Donostialdea,Donostia/San Sebastian,Urnieta,Coche conductor,08:00,22,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,5,1,1,2021,29172.56,4,-1.9732095871641688,43.32301208263242,-2.033693,43.256347
13,252,Tolosaldea,Donostialdea,Villabona,Donostia/San Sebastian,RENFE,08:00,23,Villabona,2,2,1,Otros hogares sin niños,1,5,1,1,2021,24074.47,2,-2.0530303167308563,43.18823916480845,-2.033693,43.256347
14,643,Donostialdea,Donostialdea,Oiartzun,Pasaia,Autobús interurbano,08:00,22,Pasaia,2,3,2,Otros hogares con niños,2,3,1,2,2021,23269.735,2,-1.858191177444363,43.29191626524992,-2.033693,43.256347
15,1349,Bidasoa,Donostialdea,Hondarribia,Lezo,Coche conductor,08:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,5,1,1,2021,23288.25,2,-1.8069320716657091,43.35367395744927,-2.033693,43.256347
16,1720,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,1,Otros hogares sin niños,1,3,1,1,2021,22642.935,2,-2.028931593507177,43.316804856004765,-2.033693,43.256347
